2600
-2200425508125/16777216 7239065835625/33554432 975637788125/8388608 -4545988695625/33554432
814282860625/8388608 632945616875/4194304 2547583926875/16777216 4395573316875/33554432
3316450109375/33554432 -5625038095625/33554432 -1064386838125/16777216 -198334784375/16777216
508713310625/2097152 1479946723125/33554432 2382889884375/33554432 -7362763760625/33554432
-191982058125/16777216 2396431529375/33554432 1852053149375/33554432 -1461665619375/16777216
6876775043125/33554432 20396666875/4194304 -5750764556875/33554432 380394551875/33554432
-1022093353125/33554432 3126964530625/16777216 3699499155625/33554432 -1067589973125/4194304
-836788395625/4194304 6821716045625/33554432 23399569375/262144 109969088125/524288
-903859181875/33554432 -3911139009375/33554432 3330209211875/16777216 -2265341690625/16777216
1559207820625/33554432 6080793574375/33554432 -2083199178125/33554432 4050465859375/16777216
1274299430625/8388608 -4232275896875/33554432 1701118826875/16777216 -8246685126875/33554432
-887151191875/16777216 -6604321693125/33554432 5237618693125/33554432 -7371882675625/33554432
-5653525710625/33554432 -3824401595625/16777216 641811941875/8388608 1171621514375/33554432
-81279095625/16777216 -534564411875/33554432 -3391293481875/33554432 -393805871875/2097152
99173904375/8388608 -2411813795625/33554432 1902735241875/33554432 -1046503859375/33554432
-7660333955625/33554432 -3176161958125/33554432 -6147869918125/33554432 -1800530265625/33554432
3580791768125/16777216 1033992805625/4194304 -4224225094375/33554432 152018059375/8388608
-2104128008125/8388608 906133808125/16777216 -1905773195625/33554432 4445746231875/33554432
-1953609506875/16777216 -1116502473125/33554432 -1956502705625/8388608 3991016973125/33554432
1006664774375/33554432 2492388299375/33554432 6897313548125/33554432 2218655066875/16777216
2730749636875/16777216 1690062408125/8388608 627835138125/4194304 -2271407506875/16777216
6124416731875/33554432 -22184654375/262144 -3076295210625/16777216 -820521333125/4194304
-309683473125/8388608 -5750018226875/33554432 -301684231875/2097152 227583841875/33554432
-346701249375/8388608 4375899799375/33554432 -7928027940625/33554432 -1420060159375/8388608
9328710625/262144 1410628025625/8388608 5866609783125/33554432 6779804256875/33554432
-299417438125/8388608 -735053206875/8388608 5376771944375/33554432 1458960270625/33554432
686245551875/33554432 1838015326875/16777216 4332913641875/33554432 -34411739375/8388608
3340818056875/16777216 7989767508125/33554432 -8577080809375/33554432 2895484986875/33554432
1403882455625/16777216 -275371386875/4194304 5250217903125/33554432 311969506875/33554432
864061501875/4194304 170922041875/33554432 438378240625/33554432 2685748755625/33554432
90350528125/16777216 -347512319375/4194304 911692429375/4194304 3191237408125/33554432
2427072740625/16777216 5094236054375/33554432 -2228808586875/33554432 -3056905271875/33554432
30067740625/262144 -1956730026875/16777216 -2868172539375/33554432 914412711875/33554432
-904949556875/8388608 -1541002815625/33554432 8345912518125/33554432 6472387764375/33554432
569535061875/33554432 -1578654309375/33554432 8045158590625/33554432 -800082993125/16777216
-1840397235625/8388608 2919801925625/16777216 -460735835625/4194304 -4845574768125/33554432
907963493125/4194304 7578574128125/33554432 -166574256875/33554432 1444966371875/8388608
1057410274375/4194304 5121151303125/33554432 1486416644375/8388608 454952038125/8388608
3562676235625/33554432 3016446298125/33554432 1767426285625/33554432 3617584628125/33554432
-2131557325625/16777216 -788464243125/8388608 185220855625/2097152 2709663701875/16777216
3066725748125/16777216 523506384375/16777216 -6199469209375/33554432 3142218080625/16777216
128993336875/524288 -5472196575625/33554432 7727243330625/33554432 74161221875/4194304
-145818018125/8388608 1376367078125/16777216 -2072121926875/8388608 874300350625/16777216
-674705045625/16777216 -3212491855625/33554432 872946498125/16777216 -309889165625/2097152
-3869356131875/33554432 2004081600625/33554432 8673742374375/33554432 6944810185625/33554432
-1580239269375/16777216 -6547870265625/33554432 3625960203125/16777216 -2608769466875/16777216
-886832285625/4194304 -7877721158125/33554432 1221277289375/16777216 4984835643125/33554432
6574823344375/33554432 -6628452878125/33554432 3764549091875/33554432 -5099023044375/33554432
1314920481875/16777216 638133754375/33554432 653520213125/4194304 6774965884375/33554432
-8646762125625/33554432 -1226665773125/8388608 -3750603016875/33554432 -138361055625/16777216
3469317629375/16777216 420415328125/33554432 6868506133125/33554432 3860997798125/33554432
-4090312175625/33554432 -556261558125/4194304 87069279375/8388608 -5556104035625/33554432
1087099398125/33554432 -3091120751875/33554432 7424753545625/33554432 -3927172949375/16777216
-419398224375/4194304 279745740625/2097152 -5930271238125/33554432 -2691810460625/33554432
-968864398125/4194304 -7875591936875/33554432 -3089366921875/16777216 -161577024375/16777216
8692036851875/33554432 2657710843125/16777216 -421156864375/8388608 60717288125/33554432
1811421860625/8388608 120683639375/2097152 8210817119375/33554432 8517548349375/33554432
-6765649726875/33554432 3118824694375/33554432 180706150625/16777216 -3783140343125/16777216
-959606838125/33554432 -699834435625/16777216 -1001320636875/16777216 -6120550223125/33554432
2511864298125/16777216 2719608425625/33554432 -4381039625625/33554432 -1705294166875/33554432
4080927118125/33554432 -158372134375/8388608 -6717226546875/33554432 -3099353505625/33554432
-436025126875/33554432 -5773562413125/33554432 -1925134810625/33554432 2687425381875/16777216
-6464534561875/33554432 -4286509443125/16777216 79941883125/1048576 503468623125/8388608
-4382400303125/33554432 -4112452443125/16777216 67805180625/1048576 167001940625/4194304
-1631833994375/16777216 -3792748968125/33554432 622970993125/8388608 6795752266875/33554432
-1311200856875/8388608 -2928459243125/33554432 365393640625/8388608 -4024884491875/16777216
641342170625/16777216 -2851715465625/16777216 66921375625/2097152 -2025966401875/33554432
-3953919734375/33554432 -1640268036875/8388608 -999577921875/33554432 -2812511463125/16777216
-1159020240625/16777216 -178891919375/1048576 375804658125/16777216 -159372159375/4194304
-7259134065625/33554432 -7128882596875/33554432 8711709995625/33554432 -31886099375/2097152
2442335390625/16777216 6763541013125/33554432 2260545698125/16777216 -3069917069375/16777216
-207467495625/8388608 3286768818125/16777216 -3558503528125/33554432 -2953672743125/16777216
-178233209375/16777216 5652984504375/33554432 1954179313125/16777216 -7080660478125/33554432
7038605380625/33554432 -6648905241875/33554432 -4901006491875/33554432 -1946087365625/8388608
5515010093125/33554432 1314617289375/8388608 -3769027396875/16777216 -1166044774375/16777216
-2052006571875/8388608 -1149254851875/16777216 -5526726408125/33554432 15485543125/1048576
7132941928125/33554432 998466064375/16777216 -3983855646875/33554432 -1677773719375/8388608
8700935140625/33554432 3511269100625/16777216 -1325825109375/16777216 243959503125/8388608
-3803512106875/16777216 -1699037916875/16777216 1489982495625/8388608 2710615903125/33554432
4925447613125/33554432 1415304401875/8388608 1127768516875/8388608 -8301009429375/33554432
-2857815943125/16777216 -4693153749375/33554432 225605518125/4194304 -3904833830625/16777216
322825108125/8388608 259264695625/8388608 -3404092290625/16777216 3874217546875/33554432
-143186964375/33554432 -2584226441875/33554432 -16233465625/16777216 -1824258320625/33554432
4494503349375/33554432 -2810588795625/33554432 -2149799153125/16777216 1350533575625/8388608
-2189212179375/16777216 3314860989375/16777216 283533404375/33554432 838137486875/16777216
-474694796875/8388608 -3289007125625/33554432 -7104815388125/33554432 -4402493070625/33554432
2166561206875/16777216 2831028841875/16777216 903386583125/8388608 -2911202831875/33554432
7520133326875/33554432 -8463030558125/33554432 1505325713125/33554432 4500987976875/33554432
-326960538125/2097152 -2095778953125/8388608 -4631447088125/33554432 -1600787524375/8388608
-75438049375/8388608 -1153336949375/8388608 -2989599185625/33554432 -5297824358125/33554432
-754600673125/16777216 -1885443503125/16777216 5592998490625/33554432 -4123327251875/16777216
1251952463125/33554432 947375300625/8388608 1472937789375/33554432 2261300136875/16777216
8289001898125/33554432 4449412069375/33554432 5879869149375/33554432 975866344375/33554432
4282098461875/33554432 212554655625/4194304 6109873014375/33554432 -2282883191875/33554432
4333643348125/33554432 -8160405540625/33554432 -1398321640625/16777216 934495810625/33554432
-2538881093125/33554432 1367329884375/16777216 -1044514615625/33554432 -4096801141875/16777216
211866760625/4194304 754365308125/16777216 -6867584108125/33554432 1510963569375/16777216
5096367566875/33554432 -1321622323125/16777216 -4915192774375/33554432 1488104239375/8388608
-4133108321875/33554432 1846743169375/16777216 2600747751875/33554432 2636483143125/16777216
-1034915399375/4194304 -5264191343125/33554432 -5400944956875/33554432 -3282797919375/33554432
-3398977066875/33554432 -2398343504375/16777216 -3296013719375/16777216 2135712206875/8388608
-5214907563125/33554432 5560662404375/33554432 7904116780625/33554432 1137195824375/8388608
5516179248125/33554432 -5319602510625/33554432 -739641524375/4194304 2845951249375/16777216
3140405100625/33554432 -5849438668125/33554432 7143343585625/33554432 -1766366574375/16777216
-4290859259375/16777216 4819745636875/33554432 -8460504495625/33554432 -1526526113125/33554432
-3827763086875/33554432 6284818369375/33554432 -7548370041875/33554432 884127781875/4194304
-273835908125/2097152 -609085839375/16777216 15180839375/262144 6125640194375/33554432
-1679865484375/33554432 -6609725923125/33554432 -6699733161875/33554432 -7679615230625/33554432
-7401283166875/33554432 2843300776875/16777216 -101938890625/4194304 -1157601891875/33554432
33428061875/524288 -938734899375/8388608 -5095669613125/33554432 4306853776875/33554432
-155593433125/1048576 -1128746718125/8388608 2197267466875/16777216 1827931730625/33554432
-3083186738125/16777216 -2289480204375/16777216 -2266613350625/33554432 7353476251875/33554432
-14102456875/16777216 3942383761875/16777216 5952699374375/33554432 -969030895625/16777216
-4058405186875/16777216 1053971156875/4194304 4050292991875/16777216 -282584729375/2097152
-2717480536875/33554432 4297336216875/16777216 -840403711875/8388608 -454441105625/8388608
-5297494564375/33554432 7890933854375/33554432 3146595001875/16777216 401399123125/16777216
-491348235625/4194304 -2150903048125/8388608 -6792032284375/33554432 -2622266391875/33554432
3220058846875/16777216 -2500708754375/16777216 -907293554375/33554432 609287274375/16777216
3098541931875/33554432 100236134375/4194304 -7937189641875/33554432 3681684751875/33554432
-406040773125/33554432 -2093461833125/33554432 1852076614375/16777216 -3301143259375/33554432
-2180810669375/8388608 -1892477234375/16777216 1449642748125/33554432 1723833824375/8388608
-3709472674375/33554432 1254846766875/8388608 8254310536875/33554432 8183628318125/33554432
374600029375/2097152 -5056334131875/33554432 -1484992023125/16777216 6328051234375/33554432
-7464839289375/33554432 2825488436875/16777216 -188684543125/8388608 2199229638125/33554432
-191129696875/33554432 -94588300625/4194304 6996259456875/33554432 -3533155413125/33554432
741282953125/16777216 6548885663125/33554432 -814886710625/8388608 3557204551875/16777216
-4120875809375/33554432 -16072330625/1048576 6189100409375/33554432 -4643630200625/33554432
1551027473125/8388608 -864336159375/33554432 -1177788405625/16777216 -6477684386875/33554432
-2498981086875/33554432 -3272568853125/16777216 1685928830625/16777216 -146190776875/2097152
-3533458768125/33554432 -432616933125/16777216 -911548990625/8388608 251679146875/4194304
-6018735133125/33554432 -898795649375/8388608 926016398125/33554432 5060446681875/33554432
5680542245625/33554432 1184499866875/8388608 5613388746875/33554432 7695941589375/33554432
-131880539375/1048576 1641678699375/8388608 166487871875/2097152 -2750272906875/16777216
-347363030625/8388608 2851679341875/33554432 -3651935714375/16777216 185489403125/4194304
1204702728125/8388608 5761828028125/33554432 -601995281875/4194304 820588429375/16777216
1965312480625/16777216 1127442151875/16777216 -2206985925625/33554432 2541327579375/16777216
-41690358125/1048576 -3940806000625/33554432 -844592799375/8388608 -3601827831875/16777216
2350505779375/33554432 -5609286466875/33554432 -832483868125/8388608 1691255629375/33554432
102801586875/1048576 -191383408125/8388608 -2141427461875/33554432 1830035991875/8388608
3050856014375/33554432 122199601875/33554432 -633065801875/4194304 -7102593769375/33554432
425163269375/4194304 4148808746875/16777216 -757750345625/4194304 -1940237154375/16777216
1893328068125/8388608 -1762431750625/33554432 82918509375/16777216 -382617974375/4194304
-4798801515625/33554432 -507788165625/16777216 -653202021875/16777216 -7860693546875/33554432
6628113789375/33554432 596777406875/4194304 -1218448603125/16777216 -1624141114375/33554432
3741573054375/16777216 896059116875/33554432 -2214486519375/16777216 -1904324540625/33554432
-926588560625/33554432 -7097984099375/33554432 218779738125/33554432 -3826371908125/16777216
-2134037920625/33554432 -6253888330625/33554432 6071367875625/33554432 5562048090625/33554432
965995493125/4194304 139717296875/33554432 656336874375/33554432 -356134813125/8388608
6329319530625/33554432 34019375/16777216 4009234474375/16777216 1316467595625/8388608
390853019375/33554432 5642239744375/33554432 148490931875/8388608 1653621815625/8388608
-535565720625/8388608 2177172830625/33554432 468613851875/16777216 -2179305204375/16777216
6562750390625/33554432 -994167484375/33554432 -8257134705625/33554432 1059274393125/4194304
5298864423125/33554432 150215414375/4194304 2097972605625/16777216 352132616875/33554432
-4238651275625/33554432 -1155973869375/16777216 3662323266875/16777216 7751415059375/33554432
2759943298125/16777216 -2999813285625/16777216 59249490625/2097152 -888606558125/4194304
992319534375/33554432 217479770625/1048576 -1911541376875/8388608 -827037420625/8388608
-1016849201875/8388608 6808951134375/33554432 -23902295625/1048576 3150317470625/16777216
1053353786875/33554432 1764982513125/33554432 -24647114375/262144 -3300542464375/16777216
1059363654375/8388608 -134651619375/524288 314699685625/33554432 626907636875/33554432
-7767583061875/33554432 7785187808125/33554432 -1245252896875/33554432 -1421548236875/8388608
-617672030625/16777216 1814254154375/16777216 1228988710625/33554432 2098148576875/33554432
114993604375/4194304 2904085153125/33554432 -122652960625/1048576 3890610660625/33554432
-718557864375/4194304 5415954123125/33554432 7685615981875/33554432 869094224375/8388608
7977501293125/33554432 -8043581430625/33554432 -2895172678125/33554432 1476677515625/8388608
-973791365625/33554432 1791747238125/16777216 -5815574578125/33554432 -7919583481875/33554432
275241939375/16777216 -3612811531875/33554432 124289384375/8388608 2859367200625/33554432
-1571296341875/33554432 -5202878500625/33554432 721231525625/4194304 53238193125/33554432
-31354383125/16777216 706031795625/16777216 1495128513125/33554432 7847071480625/33554432
1110352433125/8388608 -4546722301875/33554432 7391508629375/33554432 -1456723718125/16777216
6923364816875/33554432 -973440121875/33554432 -530003573125/33554432 3746770568125/33554432
8115633296875/33554432 322803235625/2097152 -6151742943125/33554432 -7036385923125/33554432
7168246271875/33554432 3756400594375/16777216 567853446875/16777216 8221364929375/33554432
-2154679011875/8388608 -4634898279375/33554432 5073261139375/33554432 3306623125/2097152
-4067610145625/33554432 2382508886875/33554432 5852973091875/33554432 -1648071221875/16777216
7877377990625/33554432 3703077259375/16777216 8153705145625/33554432 7884046795625/33554432
-8479261301875/33554432 2660775203125/16777216 -3835105941875/16777216 2385467963125/33554432
-151169191875/16777216 -687661268125/4194304 289778669375/33554432 -2225827573125/16777216
60398495625/16777216 3566874748125/16777216 3207973153125/33554432 6590224866875/33554432
254040986875/16777216 6315168413125/33554432 513915975625/4194304 1758074605625/8388608
-2139862213125/33554432 -10017223125/16777216 -431164264375/33554432 -2147141953125/8388608
1987663559375/33554432 2213175989375/16777216 155221503125/4194304 -2120268775625/33554432
50006815625/33554432 -6869363336875/33554432 1339101749375/33554432 -3011709829375/16777216
-5466582818125/33554432 2523471916875/16777216 -182751050625/1048576 1387168794375/16777216
1380743528125/8388608 -1830504528125/33554432 4083191539375/16777216 -1899959595625/16777216
368234043125/33554432 465037145625/2097152 1689871551875/33554432 997764600625/4194304
-4954076928125/33554432 -509422346875/33554432 32972200625/16777216 7717887571875/33554432
-197163646875/2097152 -750002118125/33554432 262175915625/4194304 -316230354375/16777216
8407648185625/33554432 -14652308125/4194304 -1483531456875/33554432 1654680113125/8388608
-4549756063125/33554432 12127431875/131072 305584459375/16777216 -411277741875/16777216
5448373588125/33554432 -6963049299375/33554432 -7142139785625/33554432 -2768354135625/33554432
6818293551875/33554432 1163073900625/33554432 -1938966583125/33554432 71126306875/33554432
4413241568125/33554432 3831627759375/33554432 -383263375625/16777216 6287249060625/33554432
1241738054375/16777216 2087898109375/16777216 -2364024479375/16777216 5656911836875/33554432
-968343780625/33554432 -4405772938125/33554432 2446541963125/16777216 -1625920781875/16777216
463432701875/33554432 -2525568930625/33554432 -1887062198125/16777216 -175023866875/1048576
5262502740625/33554432 -5238151823125/33554432 8473864871875/33554432 4890336351875/33554432
3186471006875/33554432 -989909366875/16777216 2762807311875/16777216 -1373359950625/33554432
902316390625/33554432 -4512387563125/33554432 2995926236875/33554432 831296269375/33554432
29077286875/524288 6175159599375/33554432 670463763125/4194304 -3263913193125/33554432
-7334451775625/33554432 -3763716490625/16777216 -8422575191875/33554432 3913332873125/16777216
5173713049375/33554432 -3056313950625/33554432 2754117120625/16777216 -46146189375/1048576
-3839485609375/33554432 881140820625/8388608 -1030922904375/8388608 444254728125/16777216
-3353813994375/33554432 6625572955625/33554432 5466526755625/33554432 657903000625/8388608
-7347738360625/33554432 -2641192068125/33554432 210024205625/4194304 -6176908586875/33554432
3496240044375/33554432 5183941319375/33554432 3336630545625/33554432 48453900625/524288
5461204425625/33554432 -3133370069375/16777216 -2518928595625/16777216 3783835875625/16777216
421926301875/33554432 -6766047608125/33554432 -603508823125/33554432 -2358019519375/33554432
-512967901875/33554432 931536701875/33554432 -7384069915625/33554432 -442365893125/16777216
4663723683125/33554432 -1767817406875/8388608 -7029115478125/33554432 826005968125/33554432
8367013256875/33554432 2178427314375/16777216 -3875527768125/16777216 -1336950168125/16777216
1448441385625/16777216 3325125854375/33554432 368348215625/16777216 2982746934375/33554432
-407829638125/2097152 790541431875/33554432 -2804787106875/33554432 -3593079303125/33554432
-5069080680625/33554432 5113660166875/33554432 -6681212906875/33554432 908376129375/16777216
-192585696875/8388608 152659999375/2097152 -148484220625/16777216 726157680625/4194304
7876476911875/33554432 4211179496875/33554432 8066981040625/33554432 3002175418125/16777216
347602718125/33554432 -204638094375/4194304 -414642791875/2097152 930503998125/16777216
1568181883125/8388608 -1213222375625/16777216 57293868125/262144 -1168094273125/8388608
-5692022383125/33554432 188341180625/2097152 1693277145625/16777216 5092860199375/33554432
-15217808125/524288 -2598098254375/16777216 -7728660655625/33554432 4854796545625/33554432
-7099230653125/33554432 -1109923969375/8388608 -3981952121875/33554432 -3493332269375/16777216
3620453029375/16777216 -435151835625/8388608 108206596875/33554432 -1032916259375/8388608
-6234895070625/33554432 3328572414375/16777216 2959397293125/33554432 1575646369375/16777216
-4987277059375/33554432 -354072216875/4194304 2546133321875/16777216 880893739375/16777216
-255050794375/2097152 21365865625/524288 -5192385193125/33554432 4333437330625/16777216
-3875309839375/16777216 2192031619375/16777216 6302543674375/33554432 -707148706875/4194304
4710828435625/33554432 954570751875/4194304 -686550206875/4194304 -374074081875/4194304
-7372711961875/33554432 774818939375/33554432 -3790453688125/16777216 160551990625/4194304
-334090176875/8388608 4161775401875/33554432 1223704828125/16777216 3292338505625/16777216
-3016413928125/33554432 -6210522248125/33554432 -425031563125/2097152 -8029060804375/33554432
3373212529375/16777216 3990690591875/33554432 -3336153380625/16777216 749815860625/8388608
6629616036875/33554432 56073980625/16777216 1931771440625/33554432 -346352199375/8388608
-3560129145625/33554432 -1263765221875/16777216 -8456664490625/33554432 -2673460716875/33554432
670503104375/16777216 -7283834325625/33554432 -184410581875/2097152 -465474254375/33554432
-1049407181875/4194304 20114063125/2097152 674468981875/16777216 -5950647795625/33554432
410346974375/4194304 713603580625/16777216 -6954188954375/33554432 -5416263474375/33554432
1964253825625/16777216 5164260911875/33554432 4978307043125/33554432 -2638309090625/16777216
141915320625/33554432 -3374129679375/33554432 2889020135625/16777216 -1429190319375/8388608
4076416816875/16777216 7214918904375/33554432 -492323544375/16777216 -2086297451875/33554432
-8490573219375/33554432 1288184275625/33554432 -1914839411875/8388608 45260466875/1048576
4633416100625/33554432 -1993356811875/16777216 1065512248125/8388608 8153938251875/33554432
-8228237704375/33554432 741493520625/16777216 -7170089574375/33554432 7403950344375/33554432
-1306526885625/33554432 706802646875/16777216 743897773125/8388608 8600034584375/33554432
5078890464375/33554432 96869719375/524288 -3907400111875/33554432 -500785926875/4194304
-490737040625/16777216 1541707708125/33554432 -721003911875/16777216 2836378731875/33554432
-4254672475625/16777216 2960105728125/16777216 -143454341875/4194304 -2077154811875/16777216
-2982283874375/16777216 3760429050625/16777216 -8618278865625/33554432 -7695214320625/33554432
251152711875/2097152 -2019404586875/16777216 6586408863125/33554432 5765759943125/33554432
-2569923045625/16777216 7573135821875/33554432 1306418871875/8388608 -4226745014375/33554432
-1605512439375/16777216 2472957816875/16777216 -3183188149375/16777216 3562259211875/16777216
-3054154748125/16777216 -926454741875/16777216 -590093408125/4194304 6633111363125/33554432
-3250693769375/33554432 -1577424525625/33554432 -4057773939375/33554432 30234595625/2097152
-6603424579375/33554432 -2947348324375/16777216 2671703799375/33554432 3959890439375/33554432
-1262316128125/16777216 -449159449375/33554432 -3820472849375/16777216 4258835871875/33554432
-485166053125/2097152 -7369424001875/33554432 -1844120988125/33554432 731947425625/16777216
140442063125/2097152 7285148365625/33554432 1608691930625/8388608 3866392505625/16777216
-4261679573125/33554432 -695339929375/16777216 -3827022623125/16777216 -2835342518125/16777216
-265884604375/2097152 16322304375/8388608 2101772733125/16777216 -8099205001875/33554432
-4030339698125/33554432 -7284907150625/33554432 1302304404375/33554432 -119991860625/33554432
349162051875/2097152 -3155565343125/33554432 -489646178125/33554432 -113439275625/2097152
-681772349375/4194304 -2475151713125/16777216 2704346978125/33554432 -963932880625/33554432
1029840459375/4194304 -6717571209375/33554432 2048409910625/33554432 7920052034375/33554432
3337783808125/16777216 -370016408125/2097152 4139459341875/16777216 8645428471875/33554432
2053895309375/16777216 231992726875/1048576 1024512539375/4194304 3998010128125/16777216
123395276875/33554432 1077241091875/8388608 125832435625/2097152 2019885651875/16777216
-1637309431875/16777216 -1013764041875/16777216 947491861875/4194304 5407791130625/33554432
3807782948125/33554432 -2543751754375/33554432 3400929455625/33554432 376315298125/8388608
4621495896875/33554432 -3031629079375/33554432 1956224830625/16777216 349273656875/33554432
-3293925919375/16777216 -6831289781875/33554432 113420718125/524288 1400402680625/33554432
4331553679375/16777216 3257457734375/16777216 -8678503023125/33554432 169836964375/1048576
750579375/8388608 -918474740625/8388608 376864028125/4194304 -1516932860625/16777216
-183002194375/4194304 -3817518664375/33554432 7290417314375/33554432 654678496875/8388608
-430961691875/8388608 -151712575625/8388608 -1030863705625/4194304 75727494375/8388608
-810028968125/4194304 1885116650625/8388608 -8046730989375/33554432 -1698584623125/16777216
4135330736875/16777216 1256916513125/33554432 -8120842510625/33554432 -12602094375/1048576
-468079584375/4194304 -2567639709375/33554432 -2400497539375/16777216 2332979813125/16777216
4953008125/4194304 8136094744375/33554432 -1374683155625/8388608 2812655373125/16777216
-1605223855625/16777216 -5976115250625/33554432 -2190833799375/33554432 -3453769743125/33554432
-344389166875/8388608 2501208019375/16777216 -7623588269375/33554432 6959950619375/33554432
-2087808246875/16777216 262015999375/8388608 -154898583125/1048576 -2396934141875/16777216
1538929380625/16777216 2278998239375/16777216 -2036063729375/8388608 7295994428125/33554432
321402339375/16777216 1530989240625/33554432 7256198860625/33554432 -935051966875/16777216
-8855364375/1048576 1154564701875/33554432 3266326285625/16777216 -266598466875/2097152
-318412794375/33554432 270944188125/2097152 -3551592321875/33554432 -2913596846875/16777216
5601383344375/33554432 -8091971875/524288 984764243125/8388608 6888754071875/33554432
-2327823899375/16777216 -271522151875/1048576 -77968206875/16777216 5604354705625/33554432
-11743866875/8388608 2483478846875/33554432 -37564223125/2097152 167488758125/16777216
-4150337238125/33554432 -2358007299375/33554432 6971130716875/33554432 -1009116801875/8388608
-6630796290625/33554432 61108701875/16777216 -7027242730625/33554432 -808630265625/4194304
-378796591875/16777216 -223637204375/4194304 -2481658603125/33554432 -207174101875/2097152
677690121875/16777216 -3060778540625/33554432 129964046875/1048576 -1961660325625/8388608
-1630553689375/16777216 1059425989375/4194304 -3093340826875/33554432 2213896758125/33554432
-3001595553125/16777216 -3125019080625/33554432 -3835937308125/16777216 -5991567343125/33554432
1591295330625/16777216 -141981571875/2097152 6977475106875/33554432 -3476433471875/16777216
314356339375/33554432 -1918848335625/8388608 -3037114738125/16777216 4120495461875/16777216
743060686875/8388608 -2210994491875/33554432 -4620824349375/33554432 5429828161875/33554432
-689025861875/16777216 455049489375/33554432 252179744375/4194304 -4477313205625/33554432
235590005625/4194304 5934660639375/33554432 2034305723125/33554432 -1772483285625/33554432
-7671862420625/33554432 -5037584751875/33554432 381331786875/33554432 -508014040625/2097152
-5595465273125/33554432 -1680030925625/8388608 897895253125/8388608 185001854375/16777216
297237451875/4194304 809820643125/16777216 669172830625/33554432 5961056034375/33554432
-2998392288125/33554432 -1043227826875/33554432 -6395451993125/33554432 2918765354375/16777216
-3346818580625/33554432 532196835625/33554432 851367034375/4194304 4186735028125/16777216
926287188125/8388608 -6386478125625/33554432 181665908125/1048576 516740290625/2097152
1701942978125/16777216 7088109006875/33554432 2107068705625/33554432 1024497248125/16777216
-2573291946875/16777216 4250709295625/16777216 -1264956720625/16777216 1755479773125/33554432
3463397218125/16777216 2034103605625/33554432 -7833554324375/33554432 8373305175625/33554432
7682698960625/33554432 37459150625/524288 3589303095625/16777216 -6289350331875/33554432
-2892182288125/33554432 -6528181375625/33554432 -1009820134375/4194304 -1977666640625/33554432
2145714683125/8388608 3817211263125/16777216 -2170767470625/16777216 -4404596421875/33554432
-8577889799375/33554432 -31002570625/8388608 7920464589375/33554432 -2102232153125/16777216
3755660926875/16777216 -191375738125/16777216 72570655625/524288 129993475625/524288
2460179011875/16777216 88580610625/16777216 2905543785625/33554432 -863186585625/16777216
320388648125/2097152 450753590625/8388608 -2663774433125/33554432 1446221814375/8388608
-2142998723125/33554432 3919320413125/16777216 805241994375/33554432 -255036429375/1048576
267728443125/8388608 1055429334375/33554432 2644631380625/33554432 2353525630625/16777216
1744480879375/33554432 1275122688125/8388608 1255080750625/8388608 -2587764310625/33554432
3984324768125/33554432 -1403093371875/16777216 8453039018125/33554432 5083611706875/33554432
-7736986456875/33554432 -8177427025625/33554432 -161235384375/2097152 1170389341875/33554432
-2608611549375/16777216 3382402180625/16777216 -6250905561875/33554432 -1986200035625/33554432
3443051795625/33554432 3517209596875/16777216 -3041872299375/16777216 672828723125/33554432
-3051451625625/16777216 7866053836875/33554432 -3886049123125/16777216 477985698125/8388608
3082731543125/16777216 2385905900625/33554432 8302487903125/33554432 4208939775625/16777216
4507810506875/33554432 -1130418501875/8388608 8546272288125/33554432 392013074375/8388608
-8425862274375/33554432 7439866403125/33554432 4931906143125/33554432 -2280919883125/16777216
-22767233125/8388608 -2779946593125/33554432 -1522227744375/33554432 4226702325625/33554432
8473501944375/33554432 -5599590449375/33554432 -1103074789375/33554432 1857800953125/33554432
974129008125/33554432 -979480344375/16777216 -5499260138125/33554432 -1703582716875/16777216
1284588134375/16777216 1027447728125/8388608 1414402364375/16777216 4048686890625/33554432
2583137675625/33554432 4153040766875/16777216 1055989033125/8388608 -2534444518125/33554432
1055917256875/16777216 -3401422594375/33554432 922733849375/33554432 3400346828125/33554432
3945152258125/16777216 -4734169643125/33554432 2329698353125/33554432 4890619183125/33554432
-7689846750625/33554432 -1866999119375/33554432 -1527850601875/33554432 -3785170423125/16777216
1004134633125/8388608 -4497607586875/33554432 38782290625/4194304 1819489400625/8388608
-73108579375/16777216 -3702646813125/33554432 -2878342033125/16777216 -1686489000625/33554432
4211627688125/33554432 8826098125/16777216 -4472167545625/33554432 40577541875/262144
5161690405625/33554432 -5489545400625/33554432 8696270805625/33554432 4927816343125/33554432
279877008125/2097152 -4959223904375/33554432 -6914701356875/33554432 71797643125/4194304
3877960766875/33554432 1152550091875/33554432 2364183924375/33554432 -837308834375/33554432
487001978125/33554432 1486579241875/16777216 3597037169375/16777216 -2444921513125/16777216
-5530020185625/33554432 1898512240625/16777216 7661515314375/33554432 3174967501875/16777216
-3767000615625/33554432 1995756433125/8388608 -6397223405625/33554432 6063313823125/33554432
-785635768125/8388608 843955734375/33554432 -145885130625/1048576 -1028318061875/8388608
-8588383854375/33554432 575176135625/33554432 -2270088380625/16777216 -2813832181875/16777216
56592388125/33554432 -248461126875/4194304 -2415792673125/33554432 -1703599958125/33554432
