2400
-1206761799375/8388608 -896877151875/4194304 200911951875/8388608 145486074375/4194304
97391975625/1048576 415185736875/8388608 -349593594375/4194304 -407135431875/8388608
73702153125/524288 51982089375/262144 -291690380625/4194304 66929176875/1048576
-151668373125/1048576 -798909196875/4194304 870136528125/4194304 44090904375/524288
756054991875/4194304 -220569624375/1048576 1064864143125/8388608 -3556509375/4194304
-606795440625/4194304 -83274219375/524288 1593461124375/8388608 -197225746875/2097152
-799241221875/4194304 1213556788125/8388608 -417350705625/4194304 1332703711875/8388608
-61877525625/8388608 -933554116875/8388608 528569791875/8388608 -451956594375/4194304
165369436875/2097152 15611368125/2097152 922887871875/8388608 -74322260625/2097152
658116954375/8388608 392084375625/4194304 727740830625/4194304 1615625019375/8388608
1014175261875/8388608 -50677179375/1048576 1611593761875/8388608 117265134375/524288
-425325073125/8388608 380056963125/8388608 -1813663719375/8388608 308260621875/4194304
-1282010625/1048576 -111927200625/1048576 -3884101875/524288 -316924914375/2097152
1613629614375/8388608 359301796875/2097152 -1723220461875/8388608 572145148125/8388608
-591319850625/4194304 -851236021875/4194304 -1141019308125/8388608 463042494375/8388608
-2011766855625/8388608 -1111180048125/8388608 -625407838125/8388608 -2784039375/32768
192550730625/8388608 75966841875/2097152 -1734601078125/8388608 -291596833125/8388608
-10870891875/262144 1725446630625/8388608 -407521786875/8388608 572558608125/4194304
-320832969375/2097152 -323876304375/4194304 -71837458125/4194304 -501416300625/2097152
1335951230625/8388608 426424876875/4194304 -370136233125/8388608 715813475625/4194304
5790436875/524288 1315382724375/8388608 374153424375/2097152 244195906875/8388608
1025807473125/8388608 -19979184375/131072 -170610639375/1048576 -962244706875/4194304
-686157069375/8388608 998790399375/4194304 -895535341875/8388608 -1647834838125/8388608
515851531875/8388608 -2205305625/1048576 1657819096875/8388608 448570074375/4194304
89206910625/8388608 -10552044375/65536 -214676011875/1048576 -74209985625/524288
-826005523125/4194304 -277993430625/8388608 -862603153125/8388608 -306347754375/8388608
-131438476875/4194304 -324833004375/4194304 -223656736875/8388608 182055148125/1048576
-112212174375/8388608 1078939085625/8388608 227346298125/1048576 -1283565148125/8388608
-791373148125/8388608 -1277603056875/8388608 -158864593125/8388608 286970934375/2097152
1646582383125/8388608 -1576968886875/8388608 843454820625/4194304 282201553125/4194304
-762424745625/8388608 -786249268125/4194304 984999061875/8388608 -268809103125/4194304
976001810625/8388608 -703909734375/8388608 -39189496875/4194304 94736634375/8388608
-292092774375/8388608 -749146419375/4194304 1255390415625/8388608 -205646608125/4194304
-348803960625/2097152 -1093400225625/8388608 75804909375/1048576 -2125093125/65536
-845972488125/8388608 -610427581875/4194304 -145100765625/1048576 -59619845625/262144
-656865864375/4194304 -946223364375/8388608 -94884020625/524288 -508090145625/4194304
76513393125/4194304 306033013125/2097152 -586453794375/4194304 53854104375/1048576
-1960859780625/8388608 976197804375/4194304 365272400625/4194304 -187058221875/1048576
180326998125/4194304 -438153579375/2097152 -587559414375/8388608 -631590238125/8388608
1296934685625/8388608 22567760625/8388608 -100089800625/4194304 98849056875/8388608
-196667105625/2097152 17904729375/8388608 -736323886875/8388608 -110048874375/524288
589705475625/4194304 614686190625/4194304 -566823684375/8388608 -259108520625/8388608
113868388125/524288 49906633125/1048576 -988229409375/8388608 -810780976875/4194304
-538767954375/8388608 -1583088166875/8388608 8271350625/262144 579441898125/8388608
-1028616234375/8388608 925805960625/4194304 748944740625/8388608 -551986561875/4194304
1005495433125/4194304 -342668203125/8388608 1092936283125/8388608 -1930452328125/8388608
118123490625/1048576 1500944330625/8388608 254249788125/2097152 58377875625/4194304
-355014268125/8388608 -7648591875/131072 -1427983828125/8388608 438942470625/4194304
963009125625/8388608 -671913189375/4194304 -1567354723125/8388608 -101454849375/1048576
248898140625/4194304 -500655954375/2097152 425431220625/4194304 -600575083125/4194304
-120353638125/524288 207547415625/1048576 78582234375/524288 -731854171875/8388608
1063652968125/8388608 1433739763125/8388608 -1590938465625/8388608 44880485625/524288
-951819069375/4194304 557452235625/8388608 1354895529375/8388608 -1655957345625/8388608
983148781875/4194304 -492007119375/2097152 244183951875/8388608 1529846814375/8388608
-517744858125/8388608 -9776615625/1048576 -168318946875/4194304 795476161875/8388608
-66380326875/4194304 14206783125/4194304 -1844460286875/8388608 -314330788125/4194304
8269704375/65536 845483075625/8388608 99616985625/4194304 -783646801875/8388608
427399955625/2097152 -83944138125/8388608 679224729375/8388608 -484437065625/4194304
-522075470625/8388608 1031101411875/8388608 463279985625/8388608 -373623661875/2097152
-127864535625/1048576 -1663284534375/8388608 508733863125/4194304 107004474375/524288
1377565801875/8388608 16866796875/524288 -236223253125/8388608 -1897768580625/8388608
1745476179375/8388608 -305114405625/4194304 1510273303125/8388608 1438953129375/8388608
-353973095625/4194304 -594424674375/4194304 -317146254375/8388608 1905701533125/8388608
-50097946875/524288 829291875/2097152 328005755625/4194304 23159896875/524288
370102164375/8388608 -593392621875/8388608 1408670105625/8388608 -625338403125/4194304
1354067086875/8388608 307160570625/2097152 -1443340644375/8388608 49999404375/1048576
-1838302130625/8388608 -107947933125/8388608 301972456875/2097152 1349892005625/8388608
1144940625/16384 -157139484375/4194304 -1362947799375/8388608 22287013125/2097152
-1795889450625/8388608 19309036875/8388608 1206690935625/8388608 -1446342830625/8388608
375908034375/4194304 273941844375/4194304 -1840449260625/8388608 -13412236875/131072
626120274375/4194304 -203580909375/4194304 528613509375/4194304 -1582545778125/8388608
1407637393125/8388608 -245985710625/4194304 304280394375/2097152 -1982169208125/8388608
449124901875/2097152 -1653648703125/8388608 204415085625/1048576 -79677343125/524288
777109985625/4194304 1449510759375/8388608 -160408948125/2097152 -480191709375/4194304
-1254084380625/8388608 314121796875/2097152 -460403855625/4194304 -1905801939375/8388608
320066840625/8388608 -1497946648125/8388608 -554080029375/8388608 265287035625/8388608
843762226875/4194304 1412610823125/8388608 -218083603125/2097152 139832214375/8388608
1887818221875/8388608 231523978125/4194304 -1046585315625/8388608 3169363125/1048576
-767494501875/8388608 -25545481875/262144 -2001524773125/8388608 262909130625/4194304
-565403446875/4194304 8258203125/1048576 -1875698746875/8388608 -147229460625/4194304
1660267036875/8388608 127307761875/2097152 -1876010840625/8388608 -1708676735625/8388608
48997693125/262144 215620749375/8388608 -32236396875/1048576 285832989375/8388608
90454595625/1048576 -1699022300625/8388608 456378118125/4194304 174784093125/2097152
211547064375/8388608 -39846984375/262144 75275938125/524288 -804638945625/4194304
889062830625/8388608 -1048616825625/8388608 -191646121875/2097152 45603774375/1048576
-102634543125/1048576 1623839626875/8388608 1596396943125/8388608 -292132119375/8388608
-520002245625/4194304 -833882203125/8388608 350952166875/2097152 -970047751875/8388608
-11242209375/1048576 79310154375/1048576 508044375/131072 1169148466875/8388608
-444485559375/4194304 443531094375/8388608 17643613125/1048576 -1288411875/2097152
430916405625/4194304 1977189005625/8388608 246103513125/2097152 -375403125/131072
23930506875/8388608 412862960625/4194304 -923772313125/8388608 397863976875/2097152
-78822290625/4194304 63489620625/8388608 175271829375/4194304 -1659701274375/8388608
3968611875/65536 -648788784375/4194304 836131576875/4194304 174365863125/4194304
-1123972130625/8388608 -1986264375/524288 1140646130625/8388608 -78927995625/4194304
819878998125/4194304 243803686875/1048576 1348151465625/8388608 -333576961875/4194304
-99033376875/2097152 331101511875/8388608 654791139375/4194304 -171751981875/8388608
988567393125/4194304 -18973370625/524288 -42849028125/8388608 -610094911875/8388608
302877710625/8388608 -451961443125/2097152 -391198344375/8388608 -1837796034375/8388608
-1423987325625/8388608 567529768125/8388608 1966058713125/8388608 -631515845625/4194304
-539634463125/4194304 148806631875/2097152 387520411875/8388608 -200124553125/4194304
853834108125/4194304 1638524443125/8388608 15880779375/8388608 7086924375/262144
-97130964375/1048576 -734966116875/8388608 -1976858488125/8388608 -528320364375/4194304
-1539429455625/8388608 -747565055625/4194304 248021349375/4194304 -434799324375/4194304
-229801104375/4194304 2012524910625/8388608 -656114653125/8388608 640951014375/8388608
333150511875/2097152 -19837295625/262144 -196599065625/8388608 470822056875/2097152
-58917436875/4194304 1793165405625/8388608 1860493344375/8388608 1507079401875/8388608
-110706286875/524288 -1473762969375/8388608 -897014236875/4194304 -213959439375/8388608
434939143125/4194304 -457329324375/4194304 -491624368125/8388608 -235177978125/2097152
296007054375/4194304 231222725625/8388608 -47780199375/4194304 238750010625/1048576
-1732649300625/8388608 1238708458125/8388608 38859005625/8388608 -1396653721875/8388608
136924254375/1048576 -277037791875/2097152 -23439583125/8388608 2000154834375/8388608
1904232361875/8388608 1395659495625/8388608 3803289375/8388608 7236151875/2097152
165520955625/2097152 -1760553643125/8388608 930021665625/8388608 1385881205625/8388608
-1827099575625/8388608 361941804375/4194304 301433176875/8388608 -674719310625/4194304
-1720570344375/8388608 -195252665625/8388608 808872328125/4194304 -80592425625/4194304
-876277663125/4194304 -714084031875/8388608 -1515261841875/8388608 997316079375/8388608
683439459375/8388608 -848160886875/8388608 -630493145625/8388608 -568382574375/8388608
343646360625/4194304 -1888371624375/8388608 906053165625/8388608 -12873733125/65536
-1465164789375/8388608 1031827618125/8388608 -241104579375/8388608 191902434375/2097152
-175028139375/8388608 104965171875/2097152 1908953420625/8388608 -45125840625/8388608
152441660625/8388608 366675654375/4194304 866550519375/8388608 -124643656875/4194304
477821908125/8388608 -267644728125/8388608 -289593571875/8388608 382290995625/8388608
1388894836875/8388608 1023876346875/8388608 709119939375/8388608 8416119375/1048576
835839309375/8388608 377151654375/2097152 67089208125/524288 934583529375/8388608
-1121865804375/8388608 -6797289375/8388608 60787925625/2097152 -765505798125/4194304
-117275210625/8388608 44059970625/2097152 -122727470625/524288 1082833614375/8388608
373558910625/2097152 -1223218985625/8388608 1382071115625/8388608 -437011771875/4194304
1053270110625/8388608 -89424549375/2097152 1692472516875/8388608 318502239375/4194304
293489971875/4194304 1585702160625/8388608 -1261846535625/8388608 -131570971875/2097152
-461585994375/4194304 907647114375/8388608 1228215275625/8388608 735683806875/8388608
533170355625/4194304 592564625625/4194304 628152515625/8388608 761855026875/8388608
318782060625/4194304 1140429886875/8388608 -2001921849375/8388608 225836581875/8388608
-326379616875/4194304 -832337863125/8388608 207691303125/2097152 237686983125/1048576
408503844375/8388608 -240557488125/2097152 1825341151875/8388608 1968507853125/8388608
193853266875/1048576 785588431875/8388608 -1820884633125/8388608 -227836944375/8388608
-800283733125/8388608 609420271875/8388608 203210698125/8388608 1003260406875/8388608
587740018125/8388608 898832728125/8388608 1498458256875/8388608 30093511875/1048576
734433519375/4194304 673030993125/4194304 292752433125/4194304 922818185625/4194304
7339903125/2097152 -409021524375/4194304 61612858125/8388608 1231158114375/8388608
-487934004375/4194304 -294531028125/2097152 -268574840625/8388608 568080481875/4194304
-47310984375/262144 -661089594375/8388608 557051604375/4194304 1908824176875/8388608
107713393125/8388608 37816509375/524288 -1728688884375/8388608 577179388125/8388608
363582084375/2097152 1771115480625/8388608 -1159323639375/8388608 -226232473125/8388608
522971371875/4194304 -531627013125/8388608 -145339318125/1048576 -293041186875/2097152
-1937022166875/8388608 -285759136875/4194304 -82016026875/4194304 -1843854508125/8388608
5258544375/1048576 -842732143125/8388608 12738151875/131072 -185976631875/4194304
-341588244375/2097152 1329980758125/8388608 -970052330625/8388608 -59993964375/8388608
323345975625/8388608 -1029684316875/8388608 -616199083125/4194304 297514108125/2097152
1152321583125/8388608 1046530614375/8388608 -1042119350625/8388608 477634681875/4194304
-185477773125/1048576 -231599075625/2097152 151861085625/4194304 364928173125/4194304
1381450899375/8388608 247355161875/1048576 614131093125/8388608 185978139375/4194304
249185653125/2097152 -966344045625/8388608 -471486065625/8388608 87432043125/1048576
-1469808166875/8388608 70506875625/1048576 -835571701875/4194304 -987469704375/4194304
-180911548125/8388608 -578247601875/8388608 -484250915625/8388608 -691564149375/8388608
-1114061551875/8388608 326997729375/4194304 -273742576875/4194304 279605563125/4194304
220510153125/4194304 660181981875/8388608 -550587061875/8388608 1137947518125/8388608
-262786726875/2097152 -912841269375/8388608 -684901396875/4194304 6498361875/131072
-1303778371875/8388608 -175669464375/1048576 7901660625/131072 -387508846875/4194304
170194449375/8388608 1917800893125/8388608 -131453165625/8388608 -14739871875/1048576
-959696188125/4194304 -637129618125/4194304 60551795625/524288 22456985625/262144
-183756658125/4194304 163944598125/8388608 635400358125/4194304 -201459853125/2097152
212504529375/8388608 -487066261875/4194304 -1763507476875/8388608 -300119626875/2097152
215447829375/1048576 10695065625/524288 -1587747766875/8388608 19483025625/262144
810970921875/4194304 -886314309375/8388608 -1585038718125/8388608 -803925729375/8388608
722968329375/8388608 690005608125/8388608 -1859372360625/8388608 250850503125/8388608
-1912762764375/8388608 981812821875/8388608 -319365815625/2097152 122249000625/8388608
-1789728725625/8388608 -351736951875/4194304 220178420625/8388608 -532483044375/8388608
-96710240625/8388608 987661363125/4194304 965027559375/4194304 -349464425625/8388608
-225132061875/4194304 -25959530625/1048576 803664613125/4194304 370768531875/2097152
-98391298125/2097152 166115424375/8388608 -1055872554375/8388608 -217483194375/4194304
-981953548125/8388608 44957773125/2097152 -981844220625/8388608 -477696826875/2097152
1399787229375/8388608 276439629375/2097152 872715560625/4194304 -1842922419375/8388608
1478832785625/8388608 1514119936875/8388608 -1037717754375/8388608 -64176125625/2097152
-563427811875/8388608 -1499777330625/8388608 1656232899375/8388608 1020134630625/8388608
-143126994375/8388608 1299058295625/8388608 -143431006875/1048576 -536844343125/4194304
-194230948125/2097152 -301097146875/2097152 -413251059375/8388608 -1561788860625/8388608
1374840811875/8388608 -298286844375/4194304 172282963125/4194304 849428754375/4194304
1730708750625/8388608 -30243301875/262144 890278186875/4194304 -123959240625/4194304
632980576875/8388608 -1814460688125/8388608 -857174585625/8388608 -40902969375/8388608
458963615625/4194304 1364888255625/8388608 492220828125/8388608 213503686875/8388608
1753826188125/8388608 -518218153125/4194304 45327478125/524288 -328304544375/4194304
-686399049375/4194304 50663514375/262144 695432251875/8388608 -115201389375/4194304
-92484631875/1048576 -916525396875/4194304 -291848885625/4194304 -350515730625/2097152
1418835718125/8388608 -43263849375/1048576 -111700430625/1048576 -1283150851875/8388608
1497817891875/8388608 -494878809375/2097152 -858256513125/4194304 -998502774375/8388608
521121935625/8388608 1269387856875/8388608 -58709195625/262144 -293295395625/8388608
49790836875/262144 135086431875/2097152 833132244375/4194304 622627625625/4194304
787764046875/8388608 -465073468125/4194304 -919950504375/8388608 79215061875/4194304
-373762336875/8388608 -486136531875/4194304 -1614699309375/8388608 601585749375/8388608
39656454375/4194304 165363350625/2097152 -959966113125/4194304 1953476923125/8388608
-118542890625/1048576 1363158755625/8388608 1550609780625/8388608 265135385625/2097152
-271633963125/2097152 126241820625/8388608 407285656875/2097152 -28529634375/1048576
1245032645625/8388608 1787738589375/8388608 318948159375/4194304 840001681875/4194304
359264368125/2097152 -194331391875/1048576 91751101875/4194304 -254780236875/4194304
49524091875/1048576 -1658637875625/8388608 -468227821875/4194304 -1613209689375/8388608
-548184346875/8388608 -1197033339375/8388608 253297760625/4194304 -1716431041875/8388608
43773826875/524288 391660291875/2097152 117126489375/1048576 283778964375/2097152
965178028125/4194304 -163201846875/1048576 117247760625/1048576 92453791875/1048576
-161893816875/1048576 -782596644375/8388608 -1087938695625/8388608 -524165518125/4194304
414320625/8388608 1083912710625/8388608 351334423125/8388608 1601389764375/8388608
-414174058125/2097152 545464816875/8388608 -348099853125/8388608 295888355625/2097152
46150798125/8388608 -401732724375/4194304 696768725625/4194304 534736899375/4194304
971013811875/4194304 1839218814375/8388608 -636568963125/4194304 -1227944015625/8388608
-779374561875/4194304 1874478860625/8388608 -273699916875/2097152 -479785663125/8388608
90627238125/4194304 826340855625/8388608 -655979218125/4194304 658331180625/8388608
1151649601875/8388608 -325340585625/4194304 806544654375/8388608 -295984310625/8388608
1239426748125/8388608 -689491483125/8388608 898669415625/4194304 -621033909375/8388608
-939487216875/8388608 -395112481875/2097152 -491443854375/8388608 -666219601875/4194304
52177033125/2097152 -17326055625/2097152 525503870625/4194304 256048063125/4194304
-189900913125/1048576 189051969375/2097152 225743064375/8388608 -502917894375/8388608
399009155625/2097152 1894506290625/8388608 -1818830548125/8388608 1315189059375/8388608
-89953524375/1048576 -1891270119375/8388608 -186361066875/1048576 -1829519881875/8388608
236846053125/8388608 122089839375/4194304 -1062747020625/8388608 -39343246875/2097152
-1460901024375/8388608 139701489375/1048576 976726104375/8388608 24735444375/131072
122183855625/2097152 1988124796875/8388608 -917077861875/8388608 37944245625/262144
634184705625/8388608 -545199384375/4194304 -1242866776875/8388608 -166657085625/2097152
262928360625/8388608 -1270178169375/8388608 -462967554375/2097152 -1692277891875/8388608
1196394403125/8388608 93577078125/2097152 -653316496875/4194304 -1416828103125/8388608
864000504375/8388608 -410627788125/8388608 -82094555625/1048576 -123651016875/4194304
219275236875/4194304 -28893710625/524288 1229197149375/8388608 -495621691875/8388608
386700598125/8388608 936116019375/4194304 -1201052851875/8388608 -1101742996875/8388608
109019263125/1048576 -323720176875/4194304 207389225625/4194304 -251058984375/2097152
856237884375/8388608 -342804275625/4194304 1005373258125/4194304 321072365625/8388608
-579944735625/8388608 -333526884375/2097152 1396756100625/8388608 -1634224756875/8388608
-1731727460625/8388608 388207201875/2097152 820653275625/8388608 789853224375/4194304
329745163125/4194304 72279481875/1048576 -103836069375/524288 -23852559375/1048576
548500025625/4194304 1268252653125/8388608 -13592705625/524288 -6768346875/65536
606156436875/4194304 -181373041875/1048576 364758676875/8388608 -774171796875/8388608
850767350625/4194304 -275138848125/8388608 -245101891875/2097152 -1295547748125/8388608
1672791898125/8388608 -1946520778125/8388608 -764658249375/4194304 -1519234201875/8388608
6326653125/65536 108629495625/2097152 -407384079375/8388608 1845759185625/8388608
183778779375/1048576 602076166875/4194304 -822670618125/4194304 -114892171875/1048576
-1429609888125/8388608 1901037046875/8388608 -117241209375/524288 538141441875/8388608
-426982145625/8388608 109610641875/1048576 -1621588903125/8388608 -1354790863125/8388608
1785390058125/8388608 1882771186875/8388608 103826274375/2097152 1963827969375/8388608
789689390625/8388608 -57388119375/8388608 -474763651875/8388608 27617806875/524288
-184510970625/1048576 1850279604375/8388608 -1896079134375/8388608 -1784747435625/8388608
882054553125/4194304 1210136390625/8388608 366133393125/2097152 -1197404716875/8388608
-677217928125/8388608 -494982369375/2097152 1994618173125/8388608 -1723645880625/8388608
-36192748125/1048576 1815031205625/8388608 1835254681875/8388608 -25266253125/524288
192660530625/1048576 579453721875/8388608 -885647776875/8388608 268173245625/4194304
-1789465051875/8388608 -1896317439375/8388608 1598164854375/8388608 -1898035355625/8388608
106125054375/2097152 -144891669375/2097152 416425633125/8388608 -113296441875/524288
1377062023125/8388608 -332747195625/2097152 2586969375/1048576 -622378231875/8388608
240651669375/8388608 -125128003125/4194304 -1770763546875/8388608 -51472385625/8388608
209619984375/8388608 346577409375/4194304 297475381875/4194304 -583113684375/4194304
-1981851073125/8388608 566144844375/4194304 1281126268125/8388608 -472310559375/8388608
-1900556184375/8388608 -541908226875/8388608 1393420295625/8388608 169824260625/2097152
-645004284375/8388608 -394043964375/8388608 780442081875/4194304 1769375625/65536
2007366534375/8388608 1889332404375/8388608 1303240790625/8388608 -140140509375/8388608
153884521875/2097152 1431408785625/8388608 318465976875/2097152 726995773125/4194304
-200816514375/4194304 -349292240625/8388608 319839976875/8388608 -30543050625/524288
22267636875/1048576 -1424904031875/8388608 313483895625/4194304 94190600625/8388608
103835780625/4194304 -70065429375/2097152 -622042325625/4194304 1941678571875/8388608
1082785276875/8388608 -1610551674375/8388608 -85755061875/1048576 426147714375/2097152
69961059375/1048576 1415219923125/8388608 61905781875/2097152 1177071508125/8388608
-916198764375/4194304 -314908306875/4194304 -998965959375/4194304 783567894375/8388608
613953286875/8388608 -166018494375/1048576 -1936033389375/8388608 -409686564375/8388608
-552335941875/8388608 -733754859375/4194304 -563036428125/8388608 93888620625/4194304
1203611304375/8388608 1083466674375/8388608 1526841129375/8388608 -180892535625/4194304
321622014375/8388608 301510119375/4194304 117984481875/524288 68131468125/4194304
-436230433125/2097152 -914459161875/8388608 603185971875/4194304 -188362126875/2097152
-484886015625/4194304 476636251875/8388608 244113740625/8388608 -655449103125/8388608
-103237655625/2097152 1692138163125/8388608 1932944461875/8388608 -583166349375/8388608
-1957480798125/8388608 40384535625/524288 401721294375/4194304 -351761671875/8388608
-1793827273125/8388608 1392414691875/8388608 148090708125/4194304 1846132389375/8388608
1325961515625/8388608 670920129375/4194304 163546419375/8388608 209310185625/8388608
-505508304375/4194304 672470041875/8388608 -99188364375/524288 -395484058125/8388608
152291769375/2097152 -907527995625/8388608 -821830415625/8388608 -666610974375/8388608
635343601875/8388608 -1926228905625/8388608 -780955865625/8388608 512816229375/4194304
-1993886889375/8388608 -744607126875/8388608 -223033843125/1048576 347403133125/4194304
444989518125/8388608 172484619375/1048576 -224508384375/8388608 493816164375/2097152
-16431043125/524288 2013240493125/8388608 -513883749375/8388608 -198360909375/2097152
110094485625/2097152 655342066875/4194304 -13281898125/1048576 1281675275625/8388608
-167946766875/2097152 -247653328125/4194304 208797928125/4194304 -334732108125/2097152
-89820605625/1048576 -149501971875/8388608 323918544375/4194304 -408293240625/8388608
-294304389375/2097152 1906583285625/8388608 -170603900625/8388608 463479395625/2097152
801004828125/8388608 445769908125/8388608 213308476875/4194304 1662805456875/8388608
11146876875/65536 6781745625/524288 -27264001875/131072 254644190625/8388608
72193119375/8388608 -81183534375/8388608 1717915021875/8388608 -502988120625/4194304
-691739728125/4194304 -39381298125/524288 25642134375/1048576 -14408596875/1048576
-1929806761875/8388608 18160498125/131072 -1384119234375/8388608 614215314375/8388608
-323142451875/8388608 -1801159929375/8388608 208786903125/8388608 -257576461875/2097152
635500666875/8388608 150391111875/4194304 -296850331875/8388608 313597468125/4194304
-464081623125/2097152 562036059375/4194304 279349569375/2097152 851404258125/8388608
1451741698125/8388608 1722203285625/8388608 1974609436875/8388608 1446624335625/8388608
848004324375/8388608 -726599341875/4194304 1921173815625/8388608 1438131301875/8388608
-60498725625/4194304 -396458746875/8388608 1404036500625/8388608 -199452196875/2097152
1324602174375/8388608 647245921875/4194304 1362943764375/8388608 1958647876875/8388608
34406030625/4194304 -1767557221875/8388608 -150807924375/1048576 683935685625/8388608
111495545625/2097152 -616374365625/8388608 -554011966875/4194304 -689939810625/4194304
6585448125/4194304 21085179375/131072 463424356875/4194304 493848856875/8388608
422235616875/2097152 -1334383595625/8388608 114777241875/4194304 -1636167200625/8388608
265878583125/8388608 -707081518125/8388608 -845204326875/4194304 -1528504873125/8388608
865964889375/8388608 885625903125/8388608 -676414348125/8388608 108386188125/524288
737982099375/8388608 111043333125/1048576 1898268733125/8388608 113965543125/2097152
-492207459375/2097152 -114902139375/2097152 998283770625/4194304 1583481864375/8388608
-136658716875/4194304 1740728956875/8388608 -1316088148125/8388608 -525222155625/8388608
325650433125/8388608 296972244375/2097152 -455175324375/2097152 31927318125/524288
-1470098274375/8388608 -104518126875/8388608 191638048125/4194304 940323200625/8388608
-1117566744375/8388608 180870459375/8388608 -416458558125/2097152 -1922057698125/8388608
-795657568125/4194304 -1659766134375/8388608 12643164375/1048576 -438117628125/4194304
325429348125/2097152 1840358071875/8388608 342031974375/2097152 357889378125/2097152
975128008125/4194304 465747403125/4194304 -430893433125/2097152 49463983125/2097152
1115647276875/8388608 35258589375/4194304 -648155420625/4194304 -775093348125/8388608
773376530625/4194304 1224487933125/8388608 381477669375/2097152 554423428125/8388608
-434500295625/4194304 20501709375/8388608 302164719375/2097152 -98106796875/1048576
-32628515625/524288 -638991774375/4194304 146311265625/8388608 -1608022783125/8388608
1226976290625/8388608 698337425625/8388608 -770073920625/4194304 -1442307129375/8388608
293852941875/4194304 389422835625/2097152 240798733125/2097152 342501706875/8388608
-1047654781875/8388608 -870084924375/4194304 217109821875/4194304 -239476588125/2097152
1802212764375/8388608 88914118125/524288 -676861588125/4194304 -166982874375/2097152
-355746946875/4194304 -174897159375/1048576 -800676920625/4194304 1891977909375/8388608
236953554375/2097152 155290591875/4194304 -519944488125/4194304 -996173833125/4194304
422457354375/2097152 -278718163125/2097152 -82156224375/4194304 -1624409536875/8388608
-69995926875/524288 -10013413125/8388608 -1625214954375/8388608 -801784385625/4194304
-25380905625/262144 -211637863125/2097152 -536540795625/8388608 -602914018125/8388608
417487344375/4194304 743052770625/8388608 1207092976875/8388608 1872748044375/8388608
-79942314375/4194304 1722486856875/8388608 -43237198125/1048576 -662224265625/4194304
339202093125/8388608 89107265625/4194304 634577270625/4194304 -804006354375/4194304
1160863501875/8388608 133991514375/1048576 -246303395625/8388608 -977491786875/8388608
-609709025625/4194304 36620503125/2097152 1142323006875/8388608 -302166489375/4194304
17576668125/131072 -509850440625/4194304 126087144375/2097152 960740904375/4194304
-478819850625/8388608 -883558704375/8388608 956714476875/4194304 4132595625/8388608
20451714375/1048576 -1093526986875/8388608 2009695220625/8388608 126494893125/2097152
784662650625/8388608 1328314141875/8388608 -510962214375/4194304 685363284375/4194304
796110958125/8388608 -45464731875/4194304 -697391585625/4194304 -1036098234375/8388608
-266202654375/2097152 517021906875/4194304 328155961875/4194304 67220090625/524288
948446555625/4194304 -1768551605625/8388608 1932356581875/8388608 -30746855625/131072
-473908531875/8388608 370400529375/8388608 -712350110625/4194304 133777310625/8388608
429754198125/2097152 762864320625/8388608 -533608670625/4194304 529154949375/8388608
376843235625/8388608 -9022220625/131072 -944730223125/4194304 -727972374375/4194304
-572568796875/4194304 -799459400625/8388608 -1247763763125/8388608 1877306180625/8388608
881030090625/4194304 -1935616389375/8388608 1494472981875/8388608 49492468125/8388608
-1010398561875/8388608 148089928125/8388608 701355088125/8388608 1292748249375/8388608
289164073125/8388608 -325240603125/2097152 64435483125/8388608 -483571164375/4194304
1393492453125/8388608 1839746570625/8388608 -173327128125/1048576 162421419375/2097152
1177795201875/8388608 -1675973608125/8388608 -682944065625/8388608 -39738733125/1048576
-769794718125/8388608 159459560625/8388608 -281291023125/2097152 122769954375/8388608
-1589808695625/8388608 -91288025625/2097152 197567086875/4194304 -526964731875/8388608
743263539375/4194304 289090516875/2097152 988406124375/8388608 1078451233125/8388608
-1185992803125/8388608 81566551875/4194304 206311423125/2097152 -26254074375/524288
1561921831875/8388608 -49040578125/4194304 -924051898125/4194304 661246055625/4194304
195819564375/4194304 1583990851875/8388608 -28717153125/4194304 -1549006749375/8388608
121419451875/1048576 390681298125/8388608 -272610260625/2097152 971771431875/4194304
-678951976875/4194304 -175175011875/8388608 -730291051875/8388608 -209613039375/8388608
-786165984375/8388608 614769523125/8388608 -99858451875/8388608 -1502822555625/8388608
-1067584726875/8388608 -1924465974375/8388608 -23291615625/8388608 -678350720625/8388608
-780719630625/8388608 68053798125/524288 -201784831875/4194304 -621772254375/4194304
-248967973125/1048576 94679904375/1048576 -1004066559375/8388608 -128519443125/2097152
595166154375/8388608 -492872176875/4194304 697382439375/4194304 1981675963125/8388608
-771132219375/8388608 -763265143125/8388608 -246025205625/4194304 1090060685625/8388608
1058040331875/8388608 1298551366875/8388608 -242774923125/1048576 -212081079375/8388608
-115004139375/1048576 1864356178125/8388608 -126614919375/8388608 -79492505625/1048576
1521147924375/8388608 -973986913125/8388608 874118169375/4194304 142636130625/2097152
15911049375/131072 -856096280625/8388608 983373789375/8388608 539496136875/4194304
1872500401875/8388608 829284088125/8388608 19080808125/131072 -875903484375/4194304
-1957591884375/8388608 -149586526875/8388608 544571135625/8388608 -211306033125/4194304
-220039801875/4194304 -1306044624375/8388608 14081851875/4194304 -876549639375/4194304
-1400172200625/8388608 -1905901475625/8388608 -1522414325625/8388608 1494743623125/8388608
63999714375/8388608 -1636088949375/8388608 -253453190625/2097152 -5323989375/1048576
