800
-331668034375/8388608 -152835866875/4194304 -40024068125/524288 125153764375/4194304
-3093051875/8388608 -566163704375/8388608 139244819375/2097152 -21517685625/1048576
-83750626875/1048576 13053329375/2097152 297195188125/8388608 296660349375/8388608
640442088125/8388608 -552974375/1048576 98099740625/8388608 403106573125/8388608
78807264375/8388608 -596738694375/8388608 -85340220625/2097152 271298983125/4194304
1330181875/65536 55760111875/1048576 -11894014375/524288 290943191875/4194304
152113490625/4194304 21686680625/8388608 648712775625/8388608 -354760315625/8388608
222352074375/8388608 334996023125/4194304 127349600625/4194304 116735973125/2097152
-470671825625/8388608 -103205219375/4194304 384283849375/8388608 -431917240625/8388608
-116736429375/8388608 -73151098125/1048576 58851911875/8388608 -44732201875/8388608
33168978125/8388608 93701178125/8388608 -547771193125/8388608 4431751875/8388608
203979220625/4194304 13758193125/8388608 608234375/262144 -560928466875/8388608
149836053125/8388608 -349201928125/8388608 -441804073125/8388608 -254718191875/4194304
-138095533125/8388608 99491531875/4194304 -341133974375/8388608 -336588366875/8388608
190952021875/4194304 549711038125/8388608 -109433531875/2097152 -366182306875/8388608
348828035625/8388608 -435510888125/8388608 586409086875/8388608 -160660343125/4194304
3190318125/65536 37966370625/4194304 547405539375/8388608 130214529375/8388608
-79183513125/4194304 -87369910625/4194304 422635278125/8388608 -54683238125/8388608
-1905744375/1048576 368911258125/8388608 241401618125/8388608 -642850033125/8388608
29783873125/8388608 10541823125/262144 -1546153125/4194304 -286854394375/8388608
271350194375/4194304 -47589313125/8388608 -14550343125/262144 -4059556875/1048576
389021928125/8388608 -656919225625/8388608 -70788915625/2097152 5050341875/8388608
-331966739375/4194304 3040353125/4194304 114929454375/2097152 33459745625/8388608
-63334734375/4194304 24435930625/4194304 -194339371875/4194304 57497028125/2097152
424517806875/8388608 1205834375/4194304 375803369375/8388608 609763111875/8388608
655696948125/8388608 415960739375/8388608 26792446875/8388608 -577085115625/8388608
-120132859375/4194304 586302795625/8388608 166456146875/8388608 251606769375/4194304
372956216875/8388608 -7259238125/8388608 119809834375/2097152 25227039375/524288
-213665888125/4194304 329311103125/4194304 -128314684375/8388608 21389666875/4194304
-225054010625/4194304 20283299375/4194304 122786975625/4194304 91555793125/8388608
21655031875/524288 -516752915625/8388608 -50004395625/4194304 36008400625/4194304
-207887369375/8388608 208816510625/4194304 -384981595625/8388608 352865883125/8388608
-1259785625/16384 -266534529375/4194304 328798656875/4194304 39002754375/2097152
-218352643125/4194304 -194081196875/4194304 -289895713125/8388608 31854009375/8388608
2925196875/131072 -35784344375/1048576 -137880146875/4194304 -517893708125/8388608
2477195625/4194304 35711393125/1048576 257596843125/4194304 -563292058125/8388608
13395129375/4194304 -167453706875/2097152 -113945625/8192 -147915308125/4194304
-81019124375/2097152 56803681875/8388608 -77440451875/1048576 234915925625/8388608
-219462531875/4194304 -123937641875/8388608 453640620625/8388608 -208146410625/4194304
-61506856875/2097152 354291486875/8388608 -313378116875/4194304 -387154490625/8388608
24004845625/1048576 -122555768125/8388608 157912833125/4194304 -562739796875/8388608
-646286675625/8388608 312723359375/8388608 329143188125/4194304 507208088125/8388608
-644941920625/8388608 -39247715625/2097152 -344395183125/8388608 35457760625/524288
-300771874375/8388608 -15881985625/262144 -12335563125/4194304 -589706243125/8388608
137049613125/2097152 -90379211875/2097152 45412426875/2097152 -1378114375/1048576
-514529474375/8388608 121587474375/2097152 -415330450625/8388608 -162365739375/4194304
19596173125/4194304 134968978125/4194304 -15065444375/2097152 404675316875/8388608
87660345625/4194304 -22212846875/8388608 209859033125/8388608 344536785625/8388608
-17957079375/262144 -588291616875/8388608 -387430665625/8388608 206337511875/8388608
-397015043125/8388608 -506939875625/8388608 -45089038125/2097152 -361692513125/8388608
-2779708125/524288 30311650625/8388608 -97239508125/4194304 -335704799375/8388608
-438418706875/8388608 199074418125/4194304 273495234375/4194304 793879375/1048576
-357689709375/8388608 -217281305625/4194304 531797375625/8388608 -297592381875/8388608
-254879449375/4194304 -509021358125/8388608 18218773125/4194304 487473185625/8388608
-462098705625/8388608 -292198439375/8388608 -264086875/131072 -28291215625/8388608
-20929893125/2097152 -296209208125/8388608 670928831875/8388608 -101102129375/2097152
-144317518125/4194304 -1217563125/262144 -83475964375/2097152 481569401875/8388608
495687723125/8388608 27822875625/1048576 106355503125/8388608 -18375878125/2097152
-58329923125/2097152 -78684566875/1048576 -233285561875/4194304 -20304429375/4194304
170198176875/4194304 -69608020625/1048576 -110630541875/4194304 101223664375/8388608
-37006434375/4194304 -19714196875/2097152 46063756875/2097152 -277763321875/8388608
178404379375/4194304 -41814846875/1048576 583355028125/8388608 125094393125/2097152
8477943125/2097152 249084041875/8388608 -259643788125/8388608 212913719375/4194304
330034908125/4194304 -152933199375/2097152 272793241875/4194304 26469685625/524288
283636971875/4194304 -408532874375/8388608 572143205625/8388608 536170585625/8388608
65235289375/1048576 558049118125/8388608 -485503026875/8388608 -23668541875/2097152
65848084375/2097152 218412735625/8388608 -201009813125/8388608 529345360625/8388608
48374284375/4194304 -13808955625/8388608 -226098065625/8388608 3262340625/2097152
-55527761875/8388608 -201627779375/8388608 -368694413125/8388608 315969038125/4194304
-67497005625/1048576 -44479763125/2097152 342633475625/8388608 39389884375/4194304
-76908241875/8388608 182135353125/8388608 -282436191875/8388608 305677870625/8388608
530135135625/8388608 -141800255625/4194304 379677844375/8388608 199299441875/8388608
13868210625/1048576 647149133125/8388608 354919471875/8388608 199352578125/4194304
46630621875/1048576 -294750654375/8388608 14041459375/4194304 -236886645625/4194304
2972698125/1048576 315776293125/4194304 188077969375/8388608 -58331035625/8388608
-181175816875/4194304 602940830625/8388608 -67820765625/8388608 71113531875/4194304
128621361875/2097152 -151268936875/4194304 -5798618125/262144 467036068125/8388608
128871240625/4194304 62758953125/2097152 -205540901875/4194304 -368843125/8388608
-411762958125/8388608 -46558814375/2097152 9729265625/4194304 159296329375/8388608
329407914375/8388608 -461565230625/8388608 52891700625/8388608 211391209375/4194304
-99213739375/4194304 3966456875/262144 598862020625/8388608 31758441875/524288
-38863081875/1048576 -175351909375/8388608 70103033125/1048576 -4743544375/524288
-27162706875/1048576 258934301875/4194304 -234986781875/8388608 -514528764375/8388608
-168809105625/4194304 -68514613125/4194304 660484839375/8388608 213358070625/4194304
581803434375/8388608 -407565385625/8388608 -195077363125/4194304 -33294203125/4194304
114934988125/2097152 -270150280625/8388608 -126259155625/8388608 230658959375/8388608
-357098940625/8388608 20276560625/524288 -465171186875/8388608 541465726875/8388608
200532891875/4194304 50232706875/4194304 -184526034375/4194304 -44318749375/8388608
317684899375/8388608 -323355039375/4194304 -283635960625/8388608 -136524801875/2097152
-353774565625/8388608 11598474375/4194304 -513571995625/8388608 -30590799375/2097152
-99067454375/4194304 128062943125/2097152 105325441875/2097152 27112121875/4194304
-503270813125/8388608 146830290625/4194304 38863150625/2097152 -557588689375/8388608
285324553125/4194304 440224075625/8388608 -108103696875/2097152 -61057539375/4194304
-274050453125/4194304 515969375/262144 -302804350625/4194304 53182541875/8388608
-28661521875/8388608 -163236541875/4194304 57986518125/2097152 -115043880625/2097152
-210948938125/4194304 -32847615625/1048576 -358976096875/8388608 -187282428125/4194304
-602904428125/8388608 52405718125/1048576 -631449035625/8388608 -420526221875/8388608
-625437330625/8388608 -101780224375/2097152 659621951875/8388608 -67844965625/4194304
106491430625/4194304 316248663125/4194304 -502347693125/8388608 -112433638125/4194304
81169055625/2097152 -6749895625/131072 49273255625/1048576 -131616496875/2097152
8978366875/2097152 -392742781875/8388608 -150090761875/8388608 -18302633125/1048576
2992714375/8388608 -445763811875/8388608 -183707896875/8388608 -335810921875/8388608
-77467534375/8388608 620197881875/8388608 623720578125/8388608 -47023883125/2097152
139017808125/2097152 80516550625/1048576 -106817941875/2097152 463908461875/8388608
328674611875/4194304 -28466351875/1048576 -5309815625/262144 -144527760625/2097152
-138780979375/8388608 -144843570625/2097152 -390152491875/8388608 647578449375/8388608
349355889375/8388608 -24832819375/2097152 -42935036875/4194304 2152371875/131072
236728600625/4194304 -465578385625/8388608 -309128283125/8388608 167056279375/8388608
-43342669375/8388608 321409221875/4194304 213180310625/8388608 -130213676875/2097152
-588577009375/8388608 137907948125/4194304 273966690625/4194304 16531703125/2097152
-28288920625/8388608 298633636875/8388608 -273990856875/8388608 37786774375/8388608
-117794373125/4194304 -22610324375/1048576 94224461875/8388608 135714135625/4194304
4097490625/4194304 -189817813125/4194304 -46776485625/8388608 10903948125/262144
319080866875/4194304 -396250386875/8388608 75458703125/2097152 160745356875/2097152
-419861206875/8388608 -30655981875/8388608 -208353551875/8388608 63901169375/1048576
986249375/32768 -81000166875/8388608 -5876603125/4194304 -131659221875/4194304
251546944375/8388608 103381609375/4194304 -42972078125/4194304 -503678045625/8388608
-192278761875/8388608 610503649375/8388608 484025200625/8388608 -120284198125/4194304
-586059705625/8388608 31591609375/1048576 -32490775625/8388608 51477148125/2097152
229380754375/4194304 243543971875/4194304 -324990069375/4194304 523553881875/8388608
-310315638125/8388608 -307737191875/4194304 271789810625/4194304 -269211531875/4194304
-112557105625/2097152 39500588125/4194304 -82160043125/2097152 -68979863125/4194304
271252404375/8388608 -270095625/16384 35860023125/524288 -150576253125/8388608
186756616875/4194304 101825425625/4194304 154556438125/8388608 -89482298125/2097152
292251930625/4194304 614693691875/8388608 -115250315625/8388608 -41394801875/1048576
-453961759375/8388608 23336256875/8388608 -55454198125/2097152 203411069375/8388608
22427716875/4194304 4775355625/4194304 68490368125/1048576 -181486281875/4194304
214330070625/4194304 594459226875/8388608 -144201456875/8388608 -160158161875/4194304
129981985625/2097152 -262684016875/4194304 -126831570625/2097152 78387005625/1048576
-157618414375/4194304 -620892361875/8388608 -76887533125/4194304 -12771185625/4194304
533993513125/8388608 -177676319375/4194304 366308321875/8388608 -62067471875/4194304
542254869375/8388608 -405010004375/8388608 -77340765625/1048576 57571816875/8388608
153031128125/8388608 294892831875/4194304 229232173125/8388608 -18020981875/4194304
428351215625/8388608 -302052091875/8388608 -28990054375/8388608 -507852550625/8388608
286602138125/4194304 -645328629375/8388608 -397029771875/8388608 360445664375/8388608
587543050625/8388608 -12760565625/8388608 -16505436875/1048576 -24927278125/2097152
318831386875/8388608 -35386461875/4194304 250598880625/4194304 -294917413125/4194304
-57928775625/1048576 12779623125/1048576 -525789750625/8388608 -379016191875/8388608
-557819216875/8388608 -255804263125/4194304 -539054513125/8388608 335428805625/4194304
195036669375/8388608 -606795954375/8388608 12213035625/4194304 -605655825625/8388608
-427025485625/8388608 226371061875/4194304 622863001875/8388608 71975568125/2097152
-66048663125/2097152 633190805625/8388608 -482449901875/8388608 1627019375/524288
19742644375/8388608 -52018089375/1048576 200311129375/4194304 89996123125/8388608
-576267904375/8388608 -431015128125/8388608 -546651014375/8388608 101894268125/8388608
86611978125/4194304 207261134375/8388608 113609598125/2097152 -127031978125/4194304
-475481875/8388608 -133809326875/8388608 29432470625/8388608 76505664375/8388608
-49327678125/1048576 -131925718125/8388608 115927888125/4194304 9879466875/2097152
-255292798125/8388608 156880855625/2097152 383180058125/8388608 515076098125/8388608
295279740625/8388608 359475901875/8388608 -27079781875/2097152 -10616426875/8388608
31987868125/2097152 641454838125/8388608 136664301875/4194304 -47519393125/8388608
-208808405625/8388608 388522185625/8388608 17030270625/4194304 138361710625/8388608
280292266875/8388608 53706050625/1048576 122886624375/8388608 -51177705625/4194304
283227176875/8388608 304052156875/8388608 305291949375/8388608 480186753125/8388608
-437923313125/8388608 -103765194375/2097152 -556807491875/8388608 -350353348125/8388608
-509076823125/8388608 -139306110625/2097152 55671623125/2097152 -13874571875/4194304
-561185469375/8388608 -59795101875/1048576 -405309795625/8388608 556298540625/8388608
-286017174375/8388608 -519769756875/8388608 -57697735625/1048576 -18504955625/2097152
3712890625/8388608 -41040293125/1048576 -47241663125/1048576 -81637650625/8388608
113198604375/8388608 112250749375/2097152 -85630580625/4194304 411419739375/8388608
631506934375/8388608 -169231253125/4194304 357126341875/8388608 164380453125/4194304
34730799375/524288 -403285358125/8388608 16575664375/4194304 -639952616875/8388608
70214311875/1048576 -28105526875/524288 -343905993125/8388608 14584645625/4194304
279241316875/4194304 409634951875/8388608 243898184375/8388608 344063103125/8388608
-76272386875/1048576 -143887074375/2097152 -277033540625/8388608 -57316098125/2097152
-38892840625/8388608 -592023978125/8388608 -5395693125/2097152 396029286875/8388608
-135794874375/4194304 -12202699375/262144 -9517059375/262144 -732068125/4194304
109498901875/4194304 -584516268125/8388608 48792598125/2097152 -146751384375/2097152
552709735625/8388608 22561888125/1048576 401372454375/8388608 82346633125/1048576
256942509375/4194304 485700061875/8388608 -78437395625/8388608 -617256641875/8388608
-64572144375/4194304 -64314506875/1048576 -56494186875/4194304 -334302849375/8388608
-635179423125/8388608 -234982428125/8388608 -509261011875/8388608 -104981870625/2097152
-139637678125/4194304 -120854095625/4194304 -170528145625/4194304 -516290131875/8388608
-141502058125/2097152 -297454163125/4194304 -509845385625/8388608 -114315729375/8388608
36375861875/4194304 3025505625/1048576 -571037963125/8388608 -54245021875/8388608
-433695719375/8388608 76651545625/2097152 13872904375/2097152 -438782885625/8388608
-35781061875/1048576 -170401845625/4194304 156310438125/8388608 -123206669375/2097152
346106679375/8388608 5238389375/65536 234284423125/4194304 -203770788125/8388608
294907208125/8388608 -339304859375/8388608 -174038581875/4194304 35268448125/2097152
175392264375/4194304 27823961875/524288 26227870625/1048576 -239990464375/4194304
186273548125/8388608 -161064941875/4194304 -291620831875/4194304 -182169293125/4194304
-221113329375/4194304 -156298696875/2097152 -52484794375/8388608 154902268125/8388608
-258392673125/8388608 -99416424375/2097152 -163265025625/2097152 165475244375/8388608
-85194181875/2097152 72647994375/2097152 93227863125/4194304 76482258125/4194304
-274188878125/4194304 -9146285625/4194304 118651010625/2097152 -11257661875/524288
-245646713125/8388608 100236003125/8388608 280048809375/4194304 -585152529375/8388608
152868443125/2097152 -459666211875/8388608 225984356875/8388608 229418125/4194304
-20627605625/2097152 -9558698125/8388608 -670068999375/8388608 -189061296875/4194304
53396070625/8388608 -37162044375/524288 -670103380625/8388608 -137717309375/2097152
269265868125/8388608 -643461839375/8388608 -160224463125/4194304 303831336875/4194304
-461146504375/8388608 -132768544375/2097152 41060881875/8388608 -494257115625/8388608
-8101801875/2097152 25051298125/2097152 -562014138125/8388608 -2139080625/65536
-452304994375/8388608 61194299375/2097152 15450126875/4194304 11884375/16384
530869726875/8388608 290306596875/4194304 517643358125/8388608 389696496875/8388608
526673949375/8388608 211135871875/8388608 258365179375/4194304 -627204299375/8388608
3618791875/131072 116206698125/8388608 -155978228125/4194304 24078779375/1048576
56187040625/4194304 -189188000625/4194304 302719805625/4194304 173657125625/8388608
180965969375/4194304 -128919635625/8388608 -57534893125/1048576 -308667021875/8388608
-213669814375/4194304 29067500625/2097152 -69394820625/4194304 25599483125/524288
16176250625/262144 -406054794375/8388608 -351686956875/8388608 98393325625/4194304
193921614375/4194304 -58550364375/4194304 377297130625/8388608 123070621875/2097152
-463992758125/8388608 12832375625/1048576 459832474375/8388608 -90615736875/2097152
618225658125/8388608 -278633278125/4194304 -10923056875/262144 -10623765625/4194304
-9734208125/1048576 -225853760625/4194304 -243779008125/4194304 95633586875/8388608
47393396875/8388608 132411756875/4194304 417035535625/8388608 -42465585625/4194304
-590609144375/8388608 -46061078125/2097152 -142541736875/4194304 252450828125/4194304
62163889375/8388608 160081141875/4194304 82558385625/8388608 116260803125/2097152
-29745234375/524288 670816991875/8388608 -68539671875/4194304 -201590323125/4194304
293427663125/8388608 -73815554375/2097152 -439518116875/8388608 -475726425625/8388608
-441265018125/8388608 -347739124375/8388608 122506046875/8388608 -252651768125/4194304
-18415565625/8388608 39578313125/2097152 -40507704375/1048576 -249748928125/8388608
-113201269375/8388608 99808225625/8388608 212563151875/8388608 207810370625/8388608
-212066364375/4194304 -153716865625/2097152 27233949375/8388608 98132388125/4194304
-74512034375/2097152 -280546386875/4194304 59314773125/1048576 -210294396875/4194304
-137828370625/8388608 -8764031875/1048576 35938304375/8388608 -587256060625/8388608
-444985280625/8388608 -63099383125/1048576 301160625/32768 -2428271875/2097152
-232488830625/4194304 506252253125/8388608 -48363206875/8388608 -359644866875/8388608
-4608151875/2097152 295020130625/4194304 22077655625/1048576 223311271875/4194304
125091420625/2097152 31737205625/2097152 2136591875/4194304 -199149363125/4194304
8636978125/524288 -228767021875/8388608 142346214375/2097152 -272389501875/8388608
-232402835625/8388608 -286682120625/8388608 -194471890625/4194304 -77260850625/1048576
-40903986875/8388608 -213445299375/4194304 91209686875/2097152 -56842400625/2097152
-429385896875/8388608 247281093125/8388608 158322191875/4194304 -151312678125/4194304
27208309375/2097152 81972140625/2097152 5599481875/262144 -20343955625/2097152
-362772264375/8388608 -269359730625/8388608 54065123125/2097152 -456940888125/8388608
44653500625/2097152 478135530625/8388608 -7714106875/4194304 -19103860625/2097152
159715861875/4194304 -59304694375/1048576 -18311891875/2097152 79944925625/4194304
317125985625/8388608 91205203125/4194304 158877776875/2097152 271747169375/8388608
-641621851875/8388608 -300559588125/8388608 -433572080625/8388608 -113958901875/8388608
7348911875/131072 -193228429375/8388608 220506726875/8388608 -230344504375/4194304
77562170625/2097152 156345985625/2097152 185172086875/4194304 -182907754375/8388608
407110894375/8388608 387655879375/8388608 -4836779375/524288 -60950551875/8388608
-417359729375/8388608 536226875625/8388608 -623373480625/8388608 -271089004375/8388608
-206918785625/8388608 523264376875/8388608 11470569375/1048576 84505224375/8388608
-470506436875/8388608 -14051226875/8388608 69743066875/2097152 10515383125/8388608
518105003125/8388608 30123635625/2097152 -418437553125/8388608 -197731645625/8388608
415491518125/8388608 436253179375/8388608 6944384375/1048576 9894274375/524288
-59517504375/2097152 21634903125/4194304 -343809386875/8388608 165857193125/4194304
682510625/524288 -33603239375/2097152 -367891850625/8388608 278925238125/4194304
-75582909375/8388608 -67168929375/4194304 34463174375/4194304 -11395661875/4194304
502869309375/8388608 -551258993125/8388608 157672430625/2097152 184507031875/8388608
-156581076875/2097152 -187107366875/8388608 -99095458125/8388608 -604036236875/8388608
159091325625/2097152 668809453125/8388608 290468464375/4194304 169536309375/8388608
201306173125/8388608 -156031040625/8388608 -573766665625/8388608 88863829375/2097152
8568316875/131072 121282875625/8388608 -274798004375/8388608 271105486875/8388608
-499264143125/8388608 148313226875/2097152 159469385625/4194304 319719290625/4194304
-291032756875/4194304 472306435625/8388608 381889744375/8388608 271974421875/8388608
-98250316875/8388608 -190526565625/4194304 82356700625/4194304 253637750625/8388608
-88273874375/4194304 445382484375/8388608 -113060196875/2097152 -28336673125/4194304
-156128204375/4194304 217392663125/4194304 372474820625/8388608 262267574375/8388608
323010631875/4194304 311998801875/8388608 -190338331875/4194304 55634349375/2097152
235427539375/4194304 -648996940625/8388608 132749721875/4194304 -156158378125/8388608
-113788125/16384 357913396875/8388608 -75546480625/1048576 5778948125/1048576
-511111116875/8388608 -271493349375/8388608 -7840255625/262144 13918605625/262144
-74754140625/4194304 284504890625/8388608 59219054375/1048576 -318949574375/8388608
80425564375/2097152 -590965779375/8388608 -61666603125/1048576 18295659375/262144
34860981875/8388608 -566962673125/8388608 -377624673125/8388608 262563571875/4194304
584883864375/8388608 -244321855625/4194304 195035064375/4194304 -62329035625/8388608
283023841875/8388608 -44604470625/2097152 -51333510625/8388608 293194924375/8388608
-648270436875/8388608 31502933125/524288 -176937199375/4194304 -202925293125/4194304
231469014375/8388608 243329394375/8388608 -115159891875/2097152 4903104375/131072
545944235625/8388608 468194848125/8388608 32719505625/4194304 -243761963125/4194304
284207985625/4194304 -79144453125/4194304 -611412786875/8388608 137697754375/8388608
268096576875/4194304 499709528125/8388608 -5802456875/262144 -67425945625/2097152
468295358125/8388608 80415066875/2097152 500837946875/8388608 460767258125/8388608
-179220986875/8388608 59457081875/1048576 -119275588125/2097152 -266496744375/4194304
-173202484375/4194304 12057796875/4194304 -432019774375/8388608 381515141875/8388608
-651249878125/8388608 -6404683125/131072 526139325625/8388608 -456056376875/8388608
-160640565625/8388608 -34026110625/524288 647815430625/8388608 -446209206875/8388608
230788430625/8388608 -127550640625/8388608 427153486875/8388608 668629125625/8388608
-211866914375/4194304 -633955554375/8388608 -487138729375/8388608 113372101875/8388608
-386571101875/8388608 329801748125/8388608 -240295513125/8388608 71246545625/2097152
2979401875/262144 273613511875/4194304 -66771568125/1048576 -4564581875/524288
-495488883125/8388608 85587198125/2097152 -615980944375/8388608 -294913175625/8388608
496947636875/8388608 -349761924375/8388608 -444123621875/8388608 553179779375/8388608
-617428911875/8388608 356944729375/8388608 -54035774375/1048576 318446651875/8388608
761903125/32768 -23204071875/8388608 314235695625/4194304 -30216720625/1048576
285079435625/8388608 -23281654375/8388608 -629068139375/8388608 38033571875/1048576
13568961875/8388608 -275348786875/8388608 47101854375/1048576 412440289375/8388608
71864774375/4194304 203553598125/8388608 378345506875/8388608 -11916225625/4194304
-161428520625/2097152 466231375625/8388608 -285391233125/4194304 58734343125/2097152
-72999070625/4194304 123978439375/4194304 207496216875/4194304 176673833125/8388608
-234055040625/8388608 -659439109375/8388608 -367223741875/8388608 -190928705625/4194304
90832315625/2097152 -52508508125/4194304 507143836875/8388608 262885726875/4194304
-113220698125/4194304 417528170625/8388608 148342219375/4194304 116379534375/4194304
427401498125/8388608 34014300625/4194304 3712033125/8388608 -462780440625/8388608
-552986334375/8388608 72078261875/4194304 423032246875/8388608 455878494375/8388608
-131145776875/4194304 643909288125/8388608 474630968125/8388608 82612395625/2097152
-343194839375/8388608 580429115625/8388608 -58814976875/4194304 645621344375/8388608
81083116875/8388608 -447315328125/8388608 4631420625/65536 -20953051875/1048576
44171206875/8388608 401889044375/8388608 -91777255625/4194304 -135985793125/8388608
108566855625/2097152 237716571875/8388608 -446220953125/8388608 77193180625/8388608
-200516628125/4194304 -154881795625/4194304 40030561875/1048576 223371086875/4194304
-192691545625/8388608 560375411875/8388608 397281094375/8388608 -389804479375/8388608
55674909375/4194304 -120411180625/4194304 -202685676875/8388608 -116507451875/8388608
375306201875/8388608 -42152898125/1048576 38002629375/4194304 -557863609375/8388608
74420133125/4194304 -330924598125/4194304 -11241560625/1048576 148964385625/4194304
65585368125/2097152 -64155499375/1048576 -97384075625/4194304 504331055625/8388608
-610686575625/8388608 513387213125/8388608 -278397073125/8388608 52506149375/4194304
332708070625/8388608 79500214375/8388608 -80276603125/2097152 -477775495625/8388608
325096930625/8388608 -433369459375/8388608 -146519375/32768 -63151451875/8388608
-46883363125/8388608 -506811276875/8388608 -192200470625/4194304 -317467473125/8388608
296824054375/8388608 -107350451875/8388608 199213355625/4194304 290824166875/8388608
-47072433125/8388608 -46263715625/2097152 145412079375/8388608 -199946478125/8388608
-62845110625/8388608 91416710625/2097152 -599027203125/8388608 566179651875/8388608
-63304641875/8388608 305171761875/8388608 -91284394375/4194304 514549508125/8388608
-473532901875/8388608 376162538125/8388608 184324070625/4194304 -566363975625/8388608
180275023125/8388608 -9895719375/131072 111968155625/8388608 474646941875/8388608
-49154528125/1048576 158617670625/4194304 -274619929375/8388608 -514603223125/8388608
-302178706875/4194304 5461541875/131072 -423587631875/8388608 -177062921875/4194304
281288898125/4194304 156761603125/8388608 30639065625/524288 -201533735625/4194304
-6592513125/262144 2922274375/524288 -234795485625/4194304 -30384476875/2097152
-521873129375/8388608 99636834375/4194304 83623911875/2097152 -247540719375/8388608
28793891875/2097152 669035009375/8388608 -61419151875/2097152 260307408125/4194304
-326356150625/8388608 -6817323125/262144 -249122114375/4194304 8327804375/2097152
-663543080625/8388608 33251320625/8388608 246879526875/4194304 112947778125/8388608
-101535881875/8388608 9769704375/2097152 71743218125/8388608 -479119510625/8388608
-282697484375/8388608 -6804863125/4194304 -253690546875/4194304 94633181875/8388608
8511758125/1048576 8488814375/524288 -640655870625/8388608 -246200618125/8388608
-151804650625/2097152 8080723125/2097152 -123477343125/8388608 106851906875/2097152
53771261875/4194304 -471052211875/8388608 -8247090625/1048576 485814510625/8388608
123994800625/2097152 178054850625/8388608 -628274409375/8388608 133482433125/8388608
1202346875/65536 -28620815625/524288 82958783125/4194304 626759575625/8388608
41933780625/524288 -585793399375/8388608 33231365625/1048576 287841775625/4194304
5068495625/131072 190280243125/8388608 -188439125625/4194304 261977954375/4194304
-469905176875/8388608 51806323125/8388608 -3945573125/262144 -57734163125/1048576
31900035625/1048576 255272703125/4194304 -288247193125/8388608 -58492366875/4194304
-124162299375/4194304 -600540150625/8388608 -277138713125/8388608 181070028125/8388608
268105966875/8388608 -27447621875/524288 169525625/2097152 484608258125/8388608
331088451875/4194304 8345448125/131072 -492391924375/8388608 30450401875/524288
-151659658125/8388608 269163946875/8388608 175664261875/8388608 517175998125/8388608
75086238125/1048576 279837678125/4194304 570513336875/8388608 -37374498125/1048576
-319578585625/4194304 -651970609375/8388608 200134600625/4194304 -16672611875/2097152
572601959375/8388608 -208053238125/8388608 155576314375/2097152 294169614375/4194304
-221959730625/4194304 -38838294375/524288 -102924648125/2097152 -29757141875/8388608
27794536875/2097152 -121631379375/4194304 288304313125/8388608 -186348069375/8388608
-344446910625/8388608 134414239375/4194304 346727203125/8388608 30087288125/8388608
-181858801875/8388608 404176435625/8388608 -279648195625/4194304 -87254969375/4194304
-440430493125/8388608 -549862730625/8388608 -206061018125/8388608 121482483125/2097152
-287496915625/8388608 -239946754375/8388608 -656412404375/8388608 -162386909375/4194304
592505426875/8388608 -274522956875/4194304 638505704375/8388608 291169295625/8388608
-63965343125/1048576 -311070751875/4194304 8070906875/8388608 -149600039375/8388608
45548769375/8388608 -30916765625/2097152 50186600625/2097152 86753798125/2097152
-317753483125/8388608 -342930203125/8388608 255998949375/4194304 30458044375/1048576
-31858599375/4194304 -172375764375/4194304 65019095625/2097152 -282720885625/8388608
565275808125/8388608 -221313465625/8388608 -457546979375/8388608 -224734709375/8388608
32234053125/8388608 -142906735625/4194304 72061035625/8388608 -242201280625/8388608
-25893299375/1048576 351315523125/8388608 166348463125/4194304 174511143125/4194304
463168804375/8388608 -143055139375/2097152 -524952180625/8388608 48931659375/2097152
313379395625/4194304 -155708411875/4194304 398688455625/8388608 -3408255625/65536
324048436875/4194304 -68121913125/1048576 224836584375/4194304 -333432990625/8388608
7296600625/262144 9735155625/524288 -234450101875/4194304 668159705625/8388608
-462089375/2097152 82059453125/1048576 183261408125/4194304 -89208214375/8388608
307169360625/4194304 44116945625/1048576 26872294375/524288 227027915625/4194304
-15907201875/8388608 -27986235625/8388608 -119031061875/4194304 -242844253125/4194304
521783650625/8388608 -295501706875/8388608 587749613125/8388608 322469375/1048576
-229997436875/8388608 -300757253125/4194304 -637979865625/8388608 -266325558125/4194304
89140256875/2097152 3474843125/2097152 -57992575625/4194304 -243530813125/8388608
80768274375/4194304 251983056875/4194304 284311705625/8388608 484575375625/8388608
27922534375/524288 2574781875/524288 637875045625/8388608 520949895625/8388608
-619846649375/8388608 146539884375/2097152 252746086875/8388608 -8983295625/524288
79753588125/4194304 231408790625/4194304 249742030625/4194304 545165311875/8388608
-166886989375/4194304 52672399375/2097152 281925539375/8388608 -263400415625/4194304
-45024375/2048 62207290625/1048576 9742135625/8388608 155527080625/8388608
-117588653125/2097152 -329297105625/4194304 64024436875/2097152 -619010430625/8388608
119910270625/8388608 -406157813125/8388608 -299223253125/8388608 189139129375/4194304
-98999829375/4194304 -324149349375/4194304 227924035625/8388608 43355508125/8388608
-286021630625/8388608 44761699375/4194304 -296368168125/8388608 -27272968125/8388608
-47904930625/8388608 -117356801875/8388608 611197304375/8388608 -311823141875/4194304
-505120385625/8388608 142837396875/8388608 14949433125/4194304 -244970879375/8388608
536639318125/8388608 -140149074375/2097152 -37732018125/4194304 -146405494375/2097152
31056551875/1048576 -99132414375/8388608 -27825125625/524288 150609608125/2097152
