3000
-100317421875/8388608 1808753878125/8388608 -520216921875/4194304 -7481199309375/33554432
-1165515196875/4194304 6295531809375/33554432 -1728315834375/16777216 -2328936309375/16777216
-27857896875/131072 -2685142715625/33554432 -1187462953125/16777216 211196784375/33554432
-1061072503125/8388608 -2555563246875/16777216 1785519459375/16777216 -490803796875/4194304
8754324496875/33554432 1975262146875/33554432 1446682471875/33554432 163604521875/1048576
4945254103125/16777216 8344533065625/33554432 -7343154721875/33554432 745405040625/4194304
-1289362190625/8388608 9208123528125/33554432 3593421384375/16777216 -557400459375/8388608
509933653125/16777216 418848253125/33554432 2564362603125/33554432 -204811809375/8388608
-3413543334375/33554432 359798859375/8388608 7568960521875/33554432 -6297100509375/33554432
2925886453125/16777216 -30704934375/262144 422901853125/33554432 4435933246875/16777216
-706173628125/16777216 5880919790625/33554432 396523228125/33554432 304742634375/8388608
-249278184375/4194304 -1480127428125/33554432 4746520040625/16777216 8010392334375/33554432
-5983046296875/33554432 -516595415625/16777216 -535708415625/33554432 -824749640625/33554432
-169992290625/16777216 4232163740625/33554432 -277463878125/33554432 4000643165625/33554432
1534017965625/8388608 1038027796875/16777216 -357514509375/33554432 -758702784375/33554432
2981093315625/33554432 4127838178125/16777216 -2273179640625/33554432 1347590746875/16777216
1071439678125/33554432 -9660753778125/33554432 -744032859375/16777216 8491355596875/33554432
-121655109375/8388608 1168536253125/16777216 446645578125/33554432 -4982626978125/33554432
729451753125/33554432 -723468684375/4194304 -1269752784375/16777216 7941616209375/33554432
-6151285303125/33554432 -6506274759375/33554432 -1050408909375/16777216 1742902453125/16777216
-1911298996875/16777216 2160754003125/33554432 6810981140625/33554432 -1251608953125/8388608
-8515335028125/33554432 2393550609375/8388608 -2773101796875/16777216 -186420796875/33554432
-990799640625/33554432 2121992559375/16777216 -1917257203125/16777216 39890803125/8388608
3773606821875/16777216 -4792638103125/33554432 400648115625/16777216 -570699571875/33554432
1242370321875/33554432 3853713834375/33554432 -1097280028125/8388608 1626339590625/16777216
-3373398459375/33554432 1858749215625/33554432 -3080300578125/16777216 -9933074915625/33554432
6395400871875/33554432 3587638659375/33554432 -1437229771875/8388608 -3086897296875/33554432
3110361834375/16777216 3340370821875/16777216 519519234375/4194304 1573060603125/16777216
2587396209375/33554432 1189327303125/33554432 -9041794621875/33554432 3693923240625/33554432
3929502721875/33554432 2603316759375/16777216 -9896936221875/33554432 -1179925865625/8388608
1912469053125/8388608 -3192354684375/16777216 4709417859375/33554432 -1035879928125/16777216
1452128840625/16777216 7762880034375/33554432 6890728659375/33554432 995745384375/4194304
3937335571875/33554432 4813261734375/16777216 1084595146875/8388608 2194303790625/8388608
2876210278125/33554432 4921231190625/33554432 -3894840946875/33554432 1579473740625/33554432
8035379803125/33554432 -66558365625/1048576 -3205807978125/16777216 -4426781728125/33554432
-7543207078125/33554432 -230491078125/16777216 191723521875/33554432 -1590469096875/16777216
-3614788903125/33554432 -8805616153125/33554432 3674629715625/16777216 -6954532903125/33554432
-1791326728125/8388608 96785746875/8388608 2068985371875/33554432 9596350246875/33554432
408311503125/8388608 -7830264309375/33554432 1953424528125/8388608 -573935109375/16777216
2192724553125/8388608 -3080599509375/33554432 227525765625/1048576 738366178125/33554432
138767784375/2097152 -2156445065625/16777216 -2344189303125/33554432 3048902765625/16777216
3513495909375/16777216 -5296854628125/33554432 -8727910453125/33554432 -1880143171875/33554432
-1410823096875/8388608 -840724940625/16777216 -930651890625/4194304 -1878575390625/16777216
925747678125/8388608 -9399820321875/33554432 -8012578125/131072 -1419483159375/33554432
923875884375/8388608 -3538847578125/16777216 -3372601771875/33554432 258892303125/2097152
-10019079928125/33554432 -946687190625/4194304 7520459709375/33554432 -6298177003125/33554432
-1567672153125/8388608 -7506692596875/33554432 5172253546875/33554432 4277877253125/33554432
-2809854834375/16777216 -5754461034375/33554432 -4991637065625/16777216 846880190625/33554432
3463670990625/33554432 -2062484709375/33554432 4473859734375/33554432 -3449846409375/16777216
-898553353125/8388608 -8661484921875/33554432 1738259484375/33554432 4979959228125/33554432
-2450417428125/8388608 6045848278125/33554432 2103192140625/8388608 -5455338928125/33554432
-3622075771875/16777216 -3523074271875/33554432 -4909488796875/16777216 1599998840625/16777216
-1173172584375/33554432 -4887903065625/16777216 -1335687440625/16777216 4330059609375/33554432
-836053453125/16777216 -4742938171875/16777216 -2200515759375/8388608 323365115625/4194304
601445240625/8388608 7802385328125/33554432 -7243268446875/33554432 -132854953125/524288
-480091921875/4194304 -813515484375/33554432 -8864062921875/33554432 -2033138671875/8388608
7833154265625/33554432 451529690625/16777216 3556581515625/16777216 -10347515625/65536
4498906059375/33554432 3856870978125/16777216 -2969562646875/33554432 4393738546875/16777216
9289882659375/33554432 -1122834365625/8388608 2608320721875/33554432 -9154894640625/33554432
1191754396875/33554432 6883031971875/33554432 -8604095071875/33554432 8452866984375/33554432
1373261371875/33554432 3202167965625/16777216 2367188465625/33554432 -18520565625/4194304
-859369790625/8388608 -3965615353125/33554432 1286248040625/16777216 -5797015303125/33554432
809703871875/33554432 -1166064703125/4194304 -128942784375/1048576 -3777941296875/33554432
-5835566803125/33554432 -265904315625/2097152 224455434375/33554432 6367910765625/33554432
2491426453125/8388608 2957424946875/16777216 -214914253125/16777216 1190877365625/8388608
114602971875/33554432 2231441596875/8388608 -7274346796875/33554432 -545057259375/8388608
3180529171875/16777216 2604879984375/16777216 6918775846875/33554432 -8722068871875/33554432
1921903809375/8388608 2086489771875/16777216 1349662040625/8388608 9641132728125/33554432
4510517315625/33554432 -4491381009375/33554432 3617699484375/16777216 2947299065625/16777216
-7694664553125/33554432 1457949009375/16777216 -6209640590625/33554432 79920553125/33554432
2846508871875/33554432 1857965690625/33554432 695772834375/16777216 4992472078125/33554432
-1219373334375/4194304 -359970065625/4194304 -8935663396875/33554432 4935658021875/33554432
1739799084375/16777216 2958220603125/33554432 1566539896875/16777216 -3191249240625/33554432
-460997615625/8388608 5062846321875/33554432 9066665765625/33554432 -3440642053125/33554432
-8216837165625/33554432 2257186865625/8388608 -2041199165625/33554432 -3731438671875/33554432
435111815625/4194304 4542817284375/16777216 571827496875/2097152 -7994352084375/33554432
2883176184375/33554432 3015689090625/33554432 -1529425678125/33554432 -9432567853125/33554432
911308696875/4194304 3088191403125/16777216 -3360267084375/16777216 5784886584375/33554432
7858452309375/33554432 -2277471796875/8388608 1436248490625/33554432 2325416503125/8388608
-104185115625/4194304 -2200762959375/16777216 2451339121875/16777216 9186383296875/33554432
-147426984375/524288 5954136384375/33554432 23430309375/2097152 2651939390625/33554432
8857023721875/33554432 -389446490625/4194304 -520358484375/33554432 1581316828125/16777216
818859375/1048576 -9039570984375/33554432 -1369197946875/8388608 -8664653221875/33554432
5868944765625/33554432 -71392434375/16777216 -1120591715625/33554432 622470984375/33554432
5919850865625/33554432 -2085117440625/8388608 -2882910140625/16777216 371074359375/33554432
-1019011678125/16777216 3471883846875/16777216 -639356053125/8388608 4072794140625/33554432
-2775643584375/33554432 1641722146875/33554432 -939610359375/16777216 911015428125/8388608
-5808410240625/33554432 -9164051840625/33554432 204037790625/1048576 7050615178125/33554432
-3654618684375/33554432 4964663128125/33554432 4331515659375/16777216 -5782941515625/33554432
715757859375/8388608 4960774734375/33554432 -7143528628125/33554432 5074540378125/33554432
-8012470959375/33554432 -8782400934375/33554432 3803130121875/33554432 -387517790625/4194304
8127767353125/33554432 -3836460834375/33554432 -630606628125/4194304 -6532952128125/33554432
-66524165625/1048576 -266617284375/33554432 3127554890625/33554432 -4325803959375/33554432
-8915118571875/33554432 -2681047340625/33554432 -7854496875/8388608 -4338791728125/16777216
-1255861115625/33554432 309499734375/4194304 -5329420321875/33554432 794060278125/33554432
-1837688821875/8388608 -1647152465625/16777216 7474011271875/33554432 -9765251709375/33554432
-102654309375/8388608 808464046875/16777216 4363267546875/33554432 341266940625/8388608
922160784375/33554432 -7318278271875/33554432 -3353923059375/33554432 3116690109375/16777216
-3036873853125/16777216 -197478815625/2097152 -104818734375/2097152 4518392803125/16777216
5748773503125/33554432 -517821140625/2097152 4600189078125/16777216 -7785489890625/33554432
-1456564565625/16777216 1120656571875/4194304 -100702265625/16777216 -7824842184375/33554432
-704260246875/16777216 -104926584375/4194304 -245001403125/33554432 7327583315625/33554432
-8217888853125/33554432 2164622840625/33554432 8027348146875/33554432 56253365625/2097152
511483546875/8388608 -8799308409375/33554432 1056505040625/4194304 -8435093446875/33554432
834804946875/33554432 -1084808334375/16777216 608300990625/16777216 554743734375/33554432
1180860290625/33554432 -2769104146875/16777216 -2117699578125/16777216 -2959900753125/16777216
6882444890625/33554432 -7638794521875/33554432 -8155111340625/33554432 -3026265740625/33554432
-7143132590625/33554432 -5516345803125/33554432 63537121875/33554432 -752198596875/8388608
9652679259375/33554432 -56389453125/4194304 1698659146875/33554432 -946111715625/4194304
156994771875/1048576 -5568556171875/33554432 9903785240625/33554432 -644817178125/16777216
3659362340625/33554432 -7602415678125/33554432 440086809375/8388608 -8918381634375/33554432
3362994140625/33554432 -726276534375/4194304 -1645754128125/16777216 -497900296875/4194304
8568022003125/33554432 10005887653125/33554432 5942105221875/33554432 -512564653125/8388608
2507506734375/33554432 8128727690625/33554432 -606870159375/8388608 5916136003125/33554432
-1606779178125/16777216 -2652466209375/33554432 1397496684375/16777216 4539607903125/16777216
-5609399315625/33554432 -2963404959375/33554432 -1429483528125/33554432 -2372784796875/8388608
-5405944546875/33554432 -6299486146875/33554432 -10001842490625/33554432 917689509375/4194304
-928803346875/16777216 7649769571875/33554432 4964113190625/33554432 4142849709375/16777216
-4243393584375/16777216 4613109253125/33554432 149465109375/33554432 761690390625/4194304
-4736589309375/33554432 8735102878125/33554432 6443592421875/33554432 1474793690625/16777216
3385136278125/33554432 -4644865078125/33554432 -4708033640625/33554432 3724619990625/33554432
-429728278125/4194304 3323924671875/33554432 2747121178125/16777216 -4063456303125/33554432
-70751165625/16777216 7727862665625/33554432 -1779774028125/8388608 -2150503940625/33554432
3921543646875/33554432 2808187415625/33554432 -4372497871875/33554432 3236337046875/33554432
-3478625990625/16777216 -6961293721875/33554432 -2612357034375/33554432 4943911265625/16777216
7569057909375/33554432 -7905970321875/33554432 -4470829734375/33554432 -89573615625/1048576
-3292860928125/16777216 533711296875/8388608 -5328019659375/33554432 2000884884375/8388608
5241250921875/33554432 -3304552565625/16777216 -536468259375/8388608 9773861559375/33554432
-222523246875/1048576 -4742209621875/16777216 -8258118928125/33554432 624450553125/2097152
-5560929815625/33554432 -2275397128125/33554432 -1781325928125/8388608 4690206665625/16777216
-850628428125/8388608 1961692321875/16777216 1600224853125/33554432 -16967071875/262144
-107567278125/8388608 4518628640625/16777216 -1722422634375/8388608 -6617040946875/33554432
-13709034375/8388608 -2413828659375/16777216 -4090572534375/16777216 6118533365625/33554432
2467429415625/16777216 7032770146875/33554432 1816675565625/33554432 2642101209375/33554432
4468452103125/33554432 5052907584375/33554432 4372902159375/16777216 -8716462940625/33554432
-4023491128125/16777216 -867142959375/8388608 -277614871875/8388608 200821303125/16777216
-4351140909375/33554432 1667622609375/16777216 665723540625/16777216 -7914322171875/33554432
-117959278125/8388608 2392583428125/8388608 -8275461440625/33554432 -1345164346875/16777216
2287374646875/8388608 3550104871875/16777216 -111671615625/33554432 -3236490909375/16777216
1175526534375/8388608 -541213153125/33554432 -87629090625/2097152 -1344434184375/33554432
7455504759375/33554432 6354610246875/33554432 -1757940571875/16777216 557698621875/16777216
6551019553125/33554432 -9424430090625/33554432 31978340625/8388608 2336819428125/8388608
-6332018053125/33554432 844036790625/4194304 843854146875/4194304 -2944065196875/16777216
-1071234496875/33554432 -1232075559375/33554432 6602439290625/33554432 7788618553125/33554432
-3373616503125/33554432 2382623784375/16777216 3376064296875/33554432 -1914442021875/16777216
143986096875/4194304 2416823653125/8388608 6111135778125/33554432 2278044684375/16777216
2295499734375/33554432 -873693834375/16777216 -2524273978125/16777216 8966326246875/33554432
2423942765625/8388608 390809896875/2097152 1832983059375/33554432 3630410221875/33554432
4872658265625/33554432 -4509630628125/33554432 699941784375/16777216 -4784859815625/16777216
-1455524465625/8388608 3206431996875/33554432 -2036795259375/8388608 -6150402459375/33554432
1420352128125/16777216 4019309709375/16777216 -2626099378125/33554432 -3591987478125/16777216
237257653125/4194304 4987073821875/16777216 291340640625/2097152 -295530834375/8388608
-6099077259375/33554432 562004446875/16777216 -517140496875/16777216 -1061768559375/4194304
-50167846875/33554432 3711340603125/33554432 -3740258784375/33554432 -1473999215625/33554432
-11641059375/33554432 1891600115625/8388608 9490418484375/33554432 1477801321875/8388608
-33957815625/2097152 139651453125/33554432 2724170353125/33554432 61190109375/1048576
-808870828125/8388608 -113733628125/16777216 1502561728125/16777216 -122622665625/524288
2168283271875/8388608 103218178125/16777216 -1839408853125/8388608 -6643381190625/33554432
-9075166284375/33554432 8599533871875/33554432 -8574649284375/33554432 3940146590625/16777216
2368538653125/33554432 9998536940625/33554432 -373470440625/33554432 -9819293334375/33554432
2006979778125/8388608 -3383433890625/33554432 -2275274353125/33554432 4182224296875/33554432
921006571875/4194304 -2057498409375/16777216 3030186159375/16777216 -1122528028125/8388608
5149512121875/33554432 1523117953125/33554432 -1616196665625/8388608 -25994184375/33554432
9851658703125/33554432 4047411553125/16777216 3105759965625/16777216 -8710484278125/33554432
-4922774821875/16777216 6606502940625/33554432 -2146540471875/16777216 -2866258790625/16777216
-4475652440625/33554432 -6836560115625/33554432 3201239428125/16777216 -1410078121875/8388608
-4265626096875/16777216 558657815625/2097152 116200378125/524288 9242228128125/33554432
-7934289346875/33554432 -4794303309375/16777216 2769593484375/33554432 4865841628125/16777216
-454552753125/2097152 4027921790625/33554432 -4089041296875/16777216 -9908132765625/33554432
8756346253125/33554432 1267688053125/8388608 6151242571875/33554432 8485218271875/33554432
-8868265678125/33554432 488465625/16777216 -3968919121875/33554432 -2481610471875/8388608
-2290047084375/8388608 3903438496875/33554432 1511725940625/33554432 -255930178125/33554432
912725128125/4194304 -659984071875/4194304 6967660846875/33554432 2374837378125/8388608
-3865175203125/16777216 -3766382821875/33554432 8773666284375/33554432 3985484521875/33554432
-2637141234375/33554432 2425715165625/33554432 453287671875/16777216 -3525181884375/16777216
2465639615625/8388608 -4446283171875/16777216 2018130234375/16777216 3536953059375/16777216
-4499603934375/16777216 531895696875/33554432 9907074384375/33554432 -626715965625/4194304
1110397359375/16777216 -4398813140625/33554432 9008571778125/33554432 -685534565625/4194304
2947887159375/33554432 4512386315625/33554432 -311419415625/16777216 8107783003125/33554432
1206705459375/4194304 9010047665625/33554432 39875109375/8388608 -5339227565625/33554432
-312496828125/16777216 1102174471875/16777216 104814815625/524288 -1304615353125/16777216
-1084451653125/33554432 -745356496875/16777216 133948978125/16777216 -16478728125/1048576
2212340728125/33554432 -486341053125/33554432 -2321037253125/16777216 -8588873540625/33554432
-1241075934375/16777216 -180531421875/8388608 -142381546875/4194304 -614107996875/33554432
-7689725784375/33554432 1564058953125/16777216 -109006903125/16777216 -144204740625/33554432
367326703125/16777216 -5212283315625/33554432 -89678578125/2097152 4819529634375/33554432
1245557203125/4194304 -3674577853125/16777216 5075108821875/33554432 -6592371834375/33554432
4248056296875/33554432 -1533664134375/16777216 -2598652903125/33554432 -495460396875/4194304
-5705357971875/33554432 -8169874621875/33554432 6686784375/262144 338845884375/4194304
-5810586478125/33554432 -2394322940625/33554432 -437666653125/8388608 3596008359375/16777216
7382596790625/33554432 2342422209375/33554432 1739493928125/16777216 -2489893021875/8388608
1152527165625/4194304 9978055996875/33554432 -824440003125/8388608 4877200171875/16777216
1473207553125/8388608 3057370546875/16777216 1686231628125/8388608 -9705379903125/33554432
-2411626059375/33554432 1931522128125/8388608 77177184375/262144 -565806084375/4194304
-1450640034375/33554432 -1624981753125/16777216 1126627359375/8388608 -747863728125/16777216
9100953215625/33554432 -3844878103125/33554432 9922138865625/33554432 -1035998184375/8388608
-3388351228125/33554432 6993452859375/33554432 5726351596875/33554432 -751280971875/4194304
48022640625/262144 -1165039996875/33554432 3315123234375/33554432 6266806134375/33554432
944582559375/8388608 479284153125/16777216 175496671875/8388608 4579659721875/16777216
-93398728125/4194304 3913828603125/16777216 4613553440625/33554432 -4741038909375/16777216
7104328828125/33554432 -2041028390625/8388608 -4427453896875/33554432 -550305065625/2097152
2804129540625/33554432 1856250028125/33554432 -7480115615625/33554432 -283342546875/33554432
2087784421875/16777216 1194785821875/16777216 -497098490625/33554432 -1863085471875/16777216
-334010240625/16777216 -1862726990625/8388608 2163213253125/33554432 7844646721875/33554432
3925770384375/16777216 -1229283553125/16777216 8515123378125/33554432 8819120315625/33554432
9090858890625/33554432 -9849680971875/33554432 -3959547253125/33554432 -1584071165625/33554432
-4257858196875/16777216 9013268653125/33554432 -1599743371875/16777216 5218486359375/33554432
-4386608671875/33554432 -9371913459375/33554432 -843134428125/16777216 -9381612646875/33554432
-333909375/33554432 2615348371875/16777216 -1860161521875/16777216 -1935475509375/8388608
-868120584375/16777216 4863007771875/33554432 -2460849084375/16777216 1831506928125/16777216
-306622321875/2097152 817217296875/33554432 -2057010309375/33554432 -5333427009375/33554432
-421186303125/33554432 3827836115625/33554432 -1706275696875/8388608 980923865625/16777216
-3932863659375/16777216 -4240314665625/16777216 -48245803125/33554432 -5043358303125/33554432
242119715625/4194304 1912031165625/16777216 -4838586721875/33554432 -229731271875/8388608
4250565309375/16777216 -562779684375/8388608 4568628121875/16777216 2288875396875/16777216
5880319921875/33554432 8579536490625/33554432 8001964059375/33554432 1581301378125/33554432
-764070721875/4194304 -3432412865625/33554432 123765140625/1048576 4921960303125/16777216
-815399934375/16777216 4783783546875/33554432 -3524933203125/16777216 -497520384375/33554432
2281338215625/8388608 -4669151690625/33554432 231389184375/1048576 -387840834375/16777216
299646159375/4194304 -1183393603125/8388608 3301151240625/33554432 10026816028125/33554432
4730069671875/16777216 3652395721875/33554432 -25336903125/33554432 -10030229184375/33554432
-6652946484375/33554432 8520739846875/33554432 -1424190721875/16777216 -856468321875/33554432
1308471684375/16777216 3420710596875/16777216 -308468184375/4194304 6490693265625/33554432
-8778528309375/33554432 379593234375/33554432 -975805771875/4194304 -31680834375/16777216
6129106584375/33554432 -6867589846875/33554432 2604036571875/33554432 123151865625/33554432
-3908455190625/16777216 8202074053125/33554432 -1980029878125/33554432 5557912884375/33554432
51708365625/16777216 3888607696875/16777216 1728799340625/33554432 4492322915625/33554432
1645384115625/8388608 3454872609375/16777216 9877209421875/33554432 990688678125/4194304
4170700284375/33554432 -4292052515625/33554432 516143746875/2097152 -1477160090625/8388608
-9262769803125/33554432 303842053125/1048576 1244355834375/8388608 -1461433903125/8388608
817369846875/8388608 -1018826446875/16777216 -8504570859375/33554432 1452462253125/33554432
924528121875/33554432 -862038984375/8388608 1171094203125/16777216 -9754902328125/33554432
4818402909375/16777216 -39834571875/1048576 8047681190625/33554432 -9287254415625/33554432
-56273596875/262144 6026824846875/33554432 4476644971875/33554432 -799628428125/16777216
-5747878734375/33554432 2504376196875/8388608 1807409240625/16777216 1465667409375/8388608
-227933428125/4194304 8227625671875/33554432 1061998959375/16777216 959300559375/8388608
9445093865625/33554432 -4243760821875/33554432 -722647809375/16777216 -3171056540625/16777216
-3015649190625/16777216 -3289771396875/33554432 -8296012246875/33554432 -872917584375/33554432
-743630596875/8388608 -4835352121875/16777216 1001327278125/33554432 1831328128125/8388608
9285330534375/33554432 -9144932034375/33554432 -3765106696875/16777216 -41102259375/16777216
3862776384375/16777216 7068321309375/33554432 8519945146875/33554432 -4373450578125/33554432
-1263095259375/33554432 -1052583553125/4194304 1818124471875/8388608 -6046882940625/33554432
183338859375/16777216 827601384375/16777216 1433270259375/8388608 2494351284375/8388608
9594771628125/33554432 4609446065625/16777216 14507521875/1048576 -9611627840625/33554432
-1429314946875/33554432 4229425265625/16777216 -953620003125/8388608 -245148290625/8388608
-6138629803125/33554432 -739033678125/16777216 1127191153125/16777216 1124202796875/8388608
194858296875/1048576 -905602640625/4194304 6273188653125/33554432 -335164528125/33554432
-8669131490625/33554432 1271157534375/16777216 -8970411853125/33554432 -894098503125/16777216
-3182926696875/16777216 7623690046875/33554432 867513496875/16777216 530294090625/16777216
-8846478103125/33554432 1091530190625/16777216 169144921875/16777216 -1026914315625/8388608
9760696546875/33554432 912882890625/16777216 -6434810465625/33554432 3377887396875/33554432
-1193257884375/8388608 -8025277509375/33554432 -1192165021875/16777216 -2258071415625/8388608
-2192010909375/33554432 -3975613153125/33554432 -7965494690625/33554432 6541440703125/33554432
-9899157628125/33554432 3103110909375/33554432 1492866909375/16777216 2291967178125/33554432
8453786184375/33554432 8718343321875/33554432 -5466161690625/33554432 4430945559375/33554432
-8213830115625/33554432 -4539162009375/33554432 -1927342471875/8388608 9802351378125/33554432
3745459696875/16777216 -3034311778125/16777216 -1266939609375/33554432 426488821875/33554432
1795197909375/33554432 -743736721875/8388608 -9713033034375/33554432 -7472089190625/33554432
373093321875/33554432 9226809703125/33554432 1572674653125/16777216 -399283640625/4194304
1857051665625/8388608 8228508778125/33554432 3421358709375/16777216 -8904149409375/33554432
-1466775159375/33554432 3187039078125/16777216 943108003125/33554432 -3921834459375/33554432
-7890411215625/33554432 7333428703125/33554432 24492084375/33554432 -2534678203125/33554432
-1353152409375/16777216 197521171875/16777216 315171440625/8388608 681331284375/16777216
10348678125/2097152 8387089715625/33554432 -2193593446875/16777216 -182536978125/33554432
7694553759375/33554432 -2411095996875/8388608 -6089576840625/33554432 2315358684375/16777216
-8346188109375/33554432 5771400515625/33554432 1866662990625/16777216 -193895934375/2097152
-3456642928125/33554432 2094505190625/16777216 -3491809565625/16777216 -7539332296875/33554432
1189846265625/8388608 -5444367065625/33554432 1628420840625/33554432 3669782146875/16777216
-872649159375/8388608 -5191584103125/33554432 -5497886559375/33554432 -9835010990625/33554432
-9049705846875/33554432 7738941121875/33554432 671583084375/16777216 1088175421875/16777216
-4127222090625/33554432 6623920509375/33554432 -2634574171875/33554432 -9886951565625/33554432
1623442696875/33554432 4278989315625/33554432 -4113715153125/33554432 -847378021875/33554432
933144684375/33554432 -6919342903125/33554432 4768642153125/33554432 -3188263321875/33554432
1699221159375/8388608 8619842634375/33554432 232332834375/2097152 -778649671875/4194304
2828550515625/16777216 161396034375/8388608 -112956140625/1048576 -10030793615625/33554432
2019918084375/16777216 -1159386965625/4194304 -588761296875/2097152 -3809471184375/33554432
728428696875/8388608 1059038428125/33554432 1425616640625/16777216 -9781783584375/33554432
-2418932428125/8388608 3529164290625/33554432 -804314634375/8388608 8106375965625/33554432
1916964834375/16777216 974730028125/4194304 6946940165625/33554432 104205046875/2097152
-2508317278125/33554432 6985103859375/33554432 2124946753125/16777216 -6290202740625/33554432
6804436396875/33554432 -1232575565625/33554432 720515184375/16777216 -10258978125/33554432
7683660815625/33554432 660142115625/8388608 5964814678125/33554432 4337147203125/33554432
1371156534375/33554432 544011534375/4194304 622561378125/2097152 3790092103125/16777216
1224977540625/8388608 -1471800778125/33554432 -101919065625/16777216 -1549659215625/33554432
7605104878125/33554432 -503599265625/8388608 -4270340578125/16777216 -1746064396875/8388608
-1083879440625/16777216 -1843977459375/33554432 -181022409375/16777216 4671486084375/33554432
1795652971875/16777216 -6645039796875/33554432 4719906234375/16777216 3934347571875/16777216
-1533819346875/8388608 -4419858684375/33554432 1523204840625/8388608 800828709375/8388608
9258213740625/33554432 1553139721875/16777216 1231001503125/16777216 -3819429403125/33554432
8269425684375/33554432 3623880946875/16777216 4517020528125/16777216 -502286353125/4194304
3550485365625/33554432 -22566421875/16777216 -2923894771875/16777216 -8902322840625/33554432
121821684375/2097152 3248124365625/33554432 3220532165625/33554432 -7860388246875/33554432
5938895559375/33554432 -1308640265625/8388608 -1116760978125/8388608 2327002303125/8388608
7858626140625/33554432 -528056446875/4194304 -648892040625/8388608 -76390284375/1048576
9224423896875/33554432 -5030364403125/33554432 -5000326753125/33554432 2051896715625/8388608
-2534595946875/16777216 -405421246875/4194304 280797778125/1048576 1129378546875/33554432
-362857809375/2097152 -1790045878125/33554432 -1207135528125/16777216 7222151728125/33554432
48673003125/4194304 418867078125/16777216 -141695371875/8388608 1779434540625/16777216
-23590546875/1048576 8464539946875/33554432 64346765625/524288 -1864630115625/33554432
-7420866196875/33554432 6855696253125/33554432 2045152378125/16777216 -7475089753125/33554432
256409690625/2097152 4253500190625/33554432 -5994199378125/33554432 903922734375/16777216
-8327512978125/33554432 -1463914509375/8388608 113571121875/2097152 2218975959375/16777216
-5815796015625/33554432 -1744554946875/16777216 383007778125/4194304 8487350671875/33554432
-4738245103125/16777216 2313991321875/8388608 -10052051109375/33554432 -2031358696875/33554432
-1541814515625/8388608 -91384640625/2097152 3063423421875/16777216 1566458446875/8388608
6465890446875/33554432 -2671524290625/16777216 8695887084375/33554432 -7121444465625/33554432
3902298815625/33554432 9554893903125/33554432 -9864748959375/33554432 2551101646875/16777216
-260404246875/33554432 8970089184375/33554432 506383584375/4194304 5266958990625/33554432
-1561961634375/33554432 -1049132653125/8388608 -7534291340625/33554432 -3785392546875/16777216
-4899764071875/16777216 -2133290315625/16777216 515588334375/16777216 2078586290625/33554432
1448654653125/8388608 -3770522334375/33554432 -6193738903125/33554432 1388402034375/16777216
-1023812503125/8388608 -1967927803125/8388608 8497714846875/33554432 1693283896875/8388608
-1120105153125/8388608 -19574990625/16777216 -6163326590625/33554432 -4410648515625/16777216
-3582006009375/33554432 -1355045803125/8388608 -2300075015625/8388608 2146576359375/8388608
2273565121875/16777216 -4286422321875/33554432 -4647200296875/16777216 -5357205965625/33554432
-6279359521875/33554432 -3107643271875/16777216 -4690476271875/16777216 -9113278978125/33554432
-325730503125/33554432 -1630118709375/33554432 -4925756803125/33554432 -9869170359375/33554432
-428465578125/4194304 -1617773915625/8388608 2414512228125/8388608 -1874826121875/8388608
-6904541503125/33554432 -9709691821875/33554432 792266334375/33554432 -616261209375/16777216
3570508715625/33554432 -1762302028125/16777216 -2018205834375/16777216 4485287146875/16777216
3979816753125/16777216 8848601334375/33554432 279002334375/1048576 201972421875/16777216
413821959375/33554432 6763797121875/33554432 782347209375/33554432 430456115625/16777216
-4532864559375/16777216 1751838459375/8388608 563598946875/4194304 -4293258140625/16777216
217087078125/33554432 -2360363296875/33554432 -286883203125/33554432 1162136859375/16777216
456602878125/8388608 -6507481396875/33554432 -288818296875/16777216 -2433551428125/16777216
9447408815625/33554432 -1163395190625/33554432 -2553459984375/16777216 490072228125/16777216
175757353125/8388608 1093949184375/33554432 -3902112478125/33554432 5033056190625/16777216
6933493771875/33554432 774565771875/33554432 989197959375/8388608 9081727584375/33554432
383200715625/8388608 496008871875/8388608 21665746875/2097152 368613459375/16777216
-9053441840625/33554432 -420521484375/16777216 -9494074490625/33554432 4306891884375/16777216
-4997096259375/33554432 -5286623053125/33554432 2187319284375/33554432 1922315615625/8388608
-3501472528125/16777216 1107740559375/33554432 4760587546875/16777216 -8467282771875/33554432
919503140625/16777216 -999313021875/8388608 -6857606765625/33554432 8552095190625/33554432
-874161946875/16777216 2364715359375/33554432 413380434375/16777216 257680453125/4194304
1503497221875/8388608 -987746784375/33554432 -2253543946875/8388608 -737585503125/16777216
3592612978125/16777216 -4758818109375/33554432 1383298621875/16777216 -8715799471875/33554432
5540677771875/33554432 979847596875/33554432 -3616787934375/16777216 1106017790625/16777216
-2300054653125/16777216 5274408890625/33554432 4963852209375/33554432 -2409631828125/33554432
2463411065625/8388608 768744496875/33554432 -1230679171875/16777216 1987354903125/8388608
1398042346875/8388608 -74399371875/16777216 1156558134375/16777216 663377746875/8388608
-5183188959375/33554432 3812589140625/33554432 -1900315115625/8388608 7131395615625/33554432
495888365625/4194304 784380234375/16777216 775282415625/8388608 4350323709375/16777216
