1600
450698253125/4194304 157585206875/1048576 82633855625/524288 -139397885625/2097152
-34931385625/1048576 -1025215625/1048576 -28701220625/262144 273105179375/2097152
282573499375/4194304 -622318166875/4194304 525671368125/4194304 283832690625/2097152
56576880625/4194304 -206333868125/2097152 -70602244375/4194304 -607666271875/4194304
-14846320625/1048576 -530332608125/4194304 431761626875/4194304 438693115625/4194304
154265368125/4194304 133055055625/4194304 221285460625/4194304 -34115100625/1048576
24263864375/524288 393893835625/4194304 440390894375/4194304 345348779375/4194304
226725863125/2097152 -36504528125/4194304 -611028429375/4194304 315031199375/4194304
406849880625/4194304 -412481590625/4194304 415233216875/4194304 -255620178125/4194304
333251106875/2097152 -170414791875/2097152 -277450526875/4194304 -264661285625/2097152
124173415625/1048576 -70584760625/4194304 -303932508125/4194304 590609666875/4194304
2494690625/65536 -256415706875/4194304 158566918125/2097152 -180864801875/2097152
134509584375/2097152 -22584543125/2097152 -267976589375/4194304 -22207191875/524288
-24485954375/1048576 -291069798125/2097152 -181466871875/4194304 -292322071875/4194304
187937519375/4194304 -2074901875/4194304 124985134375/4194304 -418201694375/4194304
-10035311875/2097152 -609907186875/4194304 -229319780625/4194304 598564870625/4194304
-930419375/262144 -121774989375/4194304 119310490625/1048576 149063523125/1048576
37827469375/524288 163621779375/2097152 -494959443125/4194304 8565314375/2097152
-130352088125/1048576 573247315625/4194304 4748481875/4194304 -15472176875/2097152
-73706448125/1048576 64503318125/4194304 251591094375/4194304 177848358125/2097152
80537965625/524288 -409179499375/4194304 -335869250625/4194304 -266347679375/4194304
147849480625/1048576 592474408125/4194304 -390632055625/4194304 49331598125/524288
-534514986875/4194304 645871628125/4194304 -793725625/65536 61862851875/524288
273040330625/2097152 -24253374375/4194304 46428098125/2097152 -6083430625/65536
123076943125/1048576 96998846875/1048576 581447015625/4194304 -13552709375/2097152
237018723125/4194304 28988891875/524288 190818043125/2097152 219115695625/4194304
-47754658125/1048576 2705279375/1048576 -323680469375/2097152 -180847680625/2097152
-129812546875/4194304 -472687900625/4194304 146326250625/4194304 -158964134375/4194304
-160144326875/2097152 16291108125/1048576 -541898596875/4194304 587104434375/4194304
-46833385625/1048576 241994111875/2097152 482467930625/4194304 -606481135625/4194304
56799908125/4194304 592241446875/4194304 -96831994375/1048576 35140939375/262144
-79100884375/1048576 -625456803125/4194304 -568334023125/4194304 -657452975625/4194304
137481303125/1048576 68832319375/524288 -628903321875/4194304 -528303689375/4194304
-490906581875/4194304 -11116494375/4194304 82655771875/1048576 277485259375/4194304
-176135828125/4194304 -60735523125/1048576 -130845470625/1048576 -117393678125/4194304
-313650089375/2097152 -4416720625/131072 6808954375/4194304 576068948125/4194304
60776093125/524288 52202390625/1048576 89764113125/4194304 -130745480625/4194304
-313896099375/4194304 -52831551875/2097152 -583766033125/4194304 -208520711875/4194304
-17968171875/262144 12935336875/262144 12111685625/262144 -100387528125/4194304
-215259039375/2097152 -575358603125/4194304 295342021875/4194304 615375019375/4194304
119211276875/4194304 -165525393125/4194304 -493209191875/4194304 -493346594375/4194304
-135860098125/1048576 105536818125/4194304 63231740625/524288 7129226875/262144
102810269375/1048576 -206874676875/2097152 458484641875/4194304 75863545625/2097152
217704340625/4194304 6666115625/524288 -110554381875/4194304 -139917703125/4194304
123878325625/2097152 143866504375/2097152 -351107173125/4194304 -568487105625/4194304
-79672553125/524288 -426034966875/4194304 2909196875/2097152 179463394375/2097152
591840284375/4194304 -446094443125/4194304 328991130625/2097152 572675663125/4194304
198958283125/2097152 514603430625/4194304 -40172024375/4194304 278171900625/2097152
-150183273125/4194304 -271908389375/4194304 1647429375/524288 103318470625/2097152
-47363493125/2097152 235482598125/4194304 -149319948125/2097152 547867899375/4194304
-94178830625/1048576 -185600056875/2097152 652561586875/4194304 -66170033125/1048576
91302496875/2097152 -232484305625/2097152 384376538125/4194304 -2813625625/1048576
-544063915625/4194304 239624413125/4194304 210090191875/4194304 26987330625/262144
328566133125/2097152 19625518125/2097152 -257570315625/2097152 275427646875/2097152
-95696031875/4194304 -188666996875/2097152 196741554375/2097152 -562683906875/4194304
-9690674375/524288 -15780163125/2097152 -301215346875/2097152 517985111875/4194304
244667803125/2097152 17951011875/2097152 2957793125/131072 26518475625/1048576
-9994564375/524288 611411105625/4194304 38708858125/524288 -64859789375/524288
-98374230625/4194304 -103736254375/4194304 -56777188125/1048576 76019989375/2097152
-8095184375/524288 -134811164375/4194304 -93661866875/1048576 -166863246875/1048576
44658429375/2097152 -10790690625/4194304 495316335625/4194304 -19702510625/4194304
-143964173125/4194304 614937900625/4194304 25181148125/4194304 -47818083125/1048576
-430274163125/4194304 50518489375/4194304 533412013125/4194304 -5892584375/131072
24662445625/2097152 -12636091875/524288 -1831734375/1048576 -301304059375/2097152
152936834375/2097152 -534204898125/4194304 -104483763125/2097152 -285831288125/4194304
-57338069375/1048576 -50705784375/524288 -110555573125/1048576 43533789375/524288
-11612976875/4194304 -235690836875/4194304 -114029340625/1048576 198687124375/4194304
290935564375/2097152 72090726875/4194304 209582350625/2097152 103403086875/4194304
-94493911875/2097152 -83283589375/2097152 225248208125/4194304 148867873125/1048576
-25412811875/4194304 514600961875/4194304 193321020625/2097152 -209847551875/2097152
278030953125/4194304 -231334694375/4194304 14594353125/2097152 159681235625/4194304
-31541746875/4194304 -589977700625/4194304 658423953125/4194304 -565726226875/4194304
594707529375/4194304 -122227590625/1048576 -305861591875/2097152 -10059053125/262144
5845835625/262144 -49973196875/4194304 -408131976875/4194304 28075170625/262144
593565931875/4194304 38881536875/262144 -321739845625/2097152 18632219375/131072
-215855950625/2097152 2096684375/32768 127100901875/4194304 213754204375/2097152
-133169188125/4194304 489422711875/4194304 -623009885625/4194304 6602540625/1048576
197214304375/2097152 -26396803125/524288 -285150906875/4194304 -110302581875/1048576
-261983571875/2097152 136267111875/4194304 37288483125/2097152 -503645370625/4194304
-652439578125/4194304 -317354056875/4194304 199901893125/2097152 5617366875/4194304
-242013934375/2097152 326926065625/2097152 -49842665625/524288 552400600625/4194304
-34330369375/2097152 -229376359375/4194304 292284969375/2097152 150575654375/2097152
-506742081875/4194304 59519105625/524288 496721491875/4194304 3340890625/32768
488106358125/4194304 508151819375/4194304 166840838125/1048576 27601653125/4194304
-389406696875/4194304 -362225476875/4194304 -340688861875/4194304 67428293125/524288
165066240625/4194304 -79655961875/524288 -60751859375/2097152 -14047731875/2097152
-490088689375/4194304 58742605625/1048576 -269883160625/2097152 -528046089375/4194304
-373284476875/4194304 111761596875/1048576 -571755011875/4194304 -162577309375/2097152
-487425385625/4194304 476759446875/4194304 143036311875/2097152 -231719733125/2097152
-321866484375/2097152 -228593156875/2097152 38635968125/1048576 -660551669375/4194304
3514043125/2097152 87252304375/2097152 -4255131875/1048576 -12695024375/131072
592106985625/4194304 -582886629375/4194304 -130079043125/1048576 108842390625/4194304
-555801299375/4194304 172617344375/4194304 351554718125/4194304 166699198125/2097152
79996861875/4194304 220543780625/2097152 -658509604375/4194304 34437985625/1048576
-272527704375/4194304 9218616875/4194304 534612934375/4194304 -57846033125/524288
-19500569375/1048576 268750240625/2097152 -202452519375/4194304 704551875/131072
245307385625/4194304 -332058228125/2097152 119497080625/2097152 -33026311875/1048576
-17210999375/2097152 -633335549375/4194304 638168655625/4194304 33175720625/4194304
25592763125/2097152 40536829375/524288 31720090625/4194304 -477607055625/4194304
286029233125/2097152 -388495225625/4194304 -109741051875/2097152 66685351875/2097152
306345096875/2097152 82739536875/1048576 48400228125/4194304 309514211875/2097152
52958050625/1048576 253041754375/4194304 324952778125/2097152 478127601875/4194304
-516506088125/4194304 67430299375/1048576 334717008125/4194304 356122864375/4194304
29175079375/524288 -290219436875/2097152 634269641875/4194304 67060799375/524288
24191425625/4194304 106250025625/2097152 -16567984375/262144 -52555889375/4194304
-109688968125/4194304 477555258125/4194304 -359093793125/4194304 -439096409375/4194304
-615543173125/4194304 -118856708125/1048576 233446160625/2097152 112163893125/2097152
575357058125/4194304 -459151598125/4194304 -51882098125/2097152 -45543975625/1048576
-109660414375/1048576 557834604375/4194304 16537354375/4194304 -110822266875/1048576
-513293686875/4194304 142745321875/2097152 490325731875/4194304 -394016575625/4194304
527072771875/4194304 124285920625/1048576 -650068661875/4194304 -579881785625/4194304
119541688125/2097152 572957629375/4194304 -378245056875/4194304 30953236875/1048576
233135279375/4194304 -239948778125/2097152 -492798304375/4194304 -66671956875/4194304
423899088125/4194304 76306475625/524288 11217976875/524288 114959273125/2097152
-128796898125/4194304 -244447724375/2097152 464464289375/4194304 -1817566875/4194304
-328149955625/4194304 176967304375/4194304 -380038811875/4194304 -130914081875/4194304
-400705935625/4194304 73814826875/2097152 -70616380625/524288 -158350386875/2097152
8435148125/2097152 63197494375/1048576 -22379409375/2097152 -112409566875/2097152
14361916875/1048576 64084374375/1048576 -82609528125/2097152 -143278071875/2097152
39642511875/1048576 -204799463125/4194304 461539548125/4194304 -27281075625/524288
-97658275625/4194304 -187734854375/2097152 46889420625/524288 -57389339375/524288
-116377414375/2097152 142579909375/4194304 -435698783125/4194304 -306564325625/2097152
386305979375/4194304 163901875/1048576 -533484706875/4194304 -7611114375/262144
472661378125/4194304 38130825625/2097152 -226039000625/4194304 -48345900625/4194304
74109463125/4194304 582185280625/4194304 2250393125/16384 499567333125/4194304
-50496806875/4194304 426495883125/4194304 16528141875/1048576 17956696875/262144
419049961875/4194304 -194808208125/4194304 -1911395625/4194304 7997655625/131072
-153069813125/4194304 -79204285625/2097152 171576356875/2097152 -266311445625/4194304
85007379375/2097152 53560038125/2097152 445037363125/4194304 57909849375/1048576
51389123125/4194304 -70670174375/4194304 140876276875/2097152 462790499375/4194304
-314665288125/4194304 147806401875/1048576 -65675690625/2097152 -360929235625/4194304
-78120053125/524288 458728041875/4194304 164126429375/2097152 -146528086875/2097152
-26256701875/4194304 -473012190625/4194304 -90536253125/1048576 -7421578125/1048576
-154337204375/2097152 -284823529375/2097152 -493392919375/4194304 -416658109375/4194304
115167893125/1048576 -78910646875/1048576 2444708125/32768 13113743125/131072
208148009375/2097152 127142858125/1048576 -622546335625/4194304 27600400625/524288
-31806248125/262144 -140539596875/2097152 -670685703125/4194304 -225323294375/2097152
-280952219375/2097152 -92009720625/2097152 -7679756875/1048576 -417279058125/4194304
-71176439375/1048576 -432100234375/4194304 -325605716875/4194304 -247520425625/2097152
534363198125/4194304 -6177496875/131072 389237216875/4194304 -469909161875/4194304
198951706875/2097152 -14231003125/2097152 -48670719375/524288 -24244955625/1048576
-106907243125/4194304 15394745625/131072 315619375/524288 218284179375/2097152
-190919834375/4194304 32045339375/524288 -545296754375/4194304 -23435665625/1048576
173598569375/2097152 474786695625/4194304 304310878125/2097152 -182893569375/4194304
419887505625/4194304 32340006875/1048576 69067984375/2097152 161053909375/4194304
487416361875/4194304 -178280950625/2097152 -584451255625/4194304 -78759975625/2097152
-276060321875/2097152 -59923986875/4194304 -432592551875/4194304 390984823125/4194304
-25667569375/4194304 -472017814375/4194304 -342418808125/4194304 439126411875/4194304
307560903125/2097152 -16475360625/524288 -382394734375/4194304 -160114896875/4194304
4791189375/32768 274564908125/4194304 -122092063125/1048576 -562041176875/4194304
113603505625/1048576 325011459375/4194304 87543618125/2097152 -253051215625/4194304
69845761875/1048576 -131578779375/4194304 117086675625/2097152 347965328125/4194304
-156843940625/4194304 157842999375/2097152 -116685640625/2097152 -160769621875/1048576
105986495625/2097152 -249403786875/4194304 -132343314375/1048576 5735600625/1048576
35668246875/1048576 -127688216875/1048576 54172990625/1048576 -162622904375/1048576
-426152159375/4194304 -465291448125/4194304 -411189269375/4194304 638623226875/4194304
412340734375/4194304 -77548171875/1048576 335323024375/2097152 50951758125/524288
172399085625/4194304 -125422969375/4194304 255337496875/4194304 -230024931875/2097152
142442666875/1048576 -19269631875/524288 642434380625/4194304 153489296875/1048576
218535434375/4194304 -122756221875/4194304 -158365770625/2097152 -580816654375/4194304
-330042489375/2097152 29581171875/2097152 5939766875/65536 498967761875/4194304
-77861085625/524288 -464314759375/4194304 126947160625/2097152 85615970625/2097152
-95513748125/1048576 334640651875/4194304 -126050819375/4194304 268790458125/2097152
-241299983125/2097152 -276906784375/4194304 -553424115625/4194304 208861254375/2097152
176205546875/4194304 1209098125/32768 -63995400625/4194304 282900383125/2097152
-121636239375/2097152 942625625/8192 116879370625/1048576 -607123563125/4194304
440890696875/4194304 -82762249375/2097152 -176880489375/2097152 88513511875/4194304
-179917608125/4194304 1431658125/131072 -458735106875/4194304 -170364884375/2097152
-47226896875/2097152 -99879851875/4194304 138293120625/2097152 -109182759375/1048576
-518669835625/4194304 574073206875/4194304 -45324965625/4194304 -300914069375/2097152
-632740503125/4194304 383221456875/4194304 -8307941875/4194304 -570826824375/4194304
-104474895625/1048576 291426873125/4194304 33397145625/262144 459401331875/4194304
-587969688125/4194304 52177269375/1048576 -438379656875/4194304 -562034424375/4194304
24729230625/524288 115697205625/2097152 -302643496875/4194304 -45021988125/524288
575271850625/4194304 236405151875/2097152 -21408673125/2097152 -52953066875/524288
19362874375/1048576 290546458125/2097152 212710673125/4194304 136835651875/4194304
2798925625/1048576 430761570625/4194304 253112183125/4194304 121707566875/1048576
119039516875/1048576 25476906875/524288 50181504375/524288 -2222260625/65536
20793515625/262144 63670820625/524288 -117215491875/2097152 156115615625/4194304
289290375625/4194304 -573655945625/4194304 -2236278125/1048576 57625203125/4194304
653293845625/4194304 -92732894375/4194304 -19938963125/262144 196935045625/2097152
336989716875/4194304 -277155121875/2097152 -587218204375/4194304 -576581985625/4194304
368978916875/4194304 601974865625/4194304 -646249814375/4194304 3996369375/2097152
7858931875/262144 511979104375/4194304 -268732350625/2097152 287816261875/4194304
286773790625/2097152 51342984375/1048576 -368868661875/4194304 -145275838125/4194304
202435576875/4194304 -375664916875/4194304 -207745486875/4194304 -637770256875/4194304
-330142816875/2097152 -422769059375/4194304 452466193125/4194304 -483885241875/4194304
-440220929375/4194304 282744976875/2097152 -97879960625/2097152 3129604375/2097152
-586383779375/4194304 353116359375/4194304 -10216208125/262144 179277373125/2097152
-62269369375/524288 -269258704375/4194304 -332973703125/2097152 510962335625/4194304
64184661875/2097152 -47786023125/524288 -51118124375/4194304 -165707175625/1048576
-302630054375/2097152 633553565625/4194304 -399150806875/4194304 -44059229375/1048576
652318404375/4194304 -153794321875/2097152 -45885158125/1048576 148843506875/4194304
208326719375/4194304 -115767533125/2097152 -320239864375/4194304 -32242759375/524288
502931519375/4194304 23469966875/1048576 -602100209375/4194304 -120298370625/1048576
-448721141875/4194304 -399670171875/4194304 -17948136875/2097152 -283238983125/2097152
96059915625/4194304 146600761875/4194304 116969031875/4194304 -37269064375/262144
-74233080625/524288 509400694375/4194304 221469205625/4194304 -67227154375/1048576
643009605625/4194304 34400058125/524288 -8566530625/262144 -529706983125/4194304
20702774375/131072 335688618125/4194304 311064579375/4194304 -655569830625/4194304
-55612266875/4194304 -341318950625/4194304 77442571875/2097152 -95638474375/1048576
465836523125/4194304 -75599601875/1048576 174474501875/2097152 376351933125/4194304
167170904375/4194304 -89541429375/1048576 -305867913125/4194304 -142424459375/1048576
-326520694375/2097152 -151944566875/2097152 358103751875/4194304 73863076875/1048576
-83198059375/1048576 74119069375/2097152 283149303125/4194304 652052234375/4194304
-911776875/65536 -312134465625/4194304 245583055625/4194304 607798363125/4194304
333519075625/4194304 810789375/262144 -36801548125/2097152 381595329375/4194304
-22210060625/1048576 49639628125/1048576 576979398125/4194304 450829673125/4194304
-155966960625/2097152 146725821875/1048576 236759161875/2097152 -662093228125/4194304
-610033533125/4194304 -263368823125/4194304 -153424876875/1048576 -75410366875/1048576
-466305414375/4194304 -2841883125/262144 -82840015625/1048576 304161641875/4194304
-255279906875/4194304 -65124526875/2097152 19828784375/1048576 -183812765625/2097152
-106747103125/4194304 89719910625/4194304 115331106875/1048576 57502456875/524288
-397054111875/4194304 -11831868125/262144 482077279375/4194304 112389675625/4194304
-483474350625/4194304 -241186180625/2097152 116365839375/2097152 5832209375/262144
641989699375/4194304 196578130625/2097152 -15361683125/262144 576652825625/4194304
-329878911875/4194304 -582069714375/4194304 152896866875/2097152 503691364375/4194304
-544109110625/4194304 19401926875/2097152 246753769375/4194304 -256471875/262144
-15258826875/262144 -260631684375/4194304 -94879285625/4194304 -111709426875/2097152
5178801875/4194304 236886266875/4194304 246279680625/4194304 76123356875/1048576
-580562974375/4194304 -313664091875/4194304 -65211356875/2097152 -107940921875/2097152
188791865625/2097152 647438298125/4194304 8674895625/524288 267385930625/4194304
-179127160625/2097152 48609265625/4194304 -100026999375/2097152 -610719123125/4194304
-17035553125/131072 325873676875/4194304 -17524169375/262144 -328242619375/2097152
140466935625/4194304 133207013125/4194304 83820655625/1048576 218635860625/2097152
-209555140625/2097152 126134595625/2097152 -57890561875/1048576 453047715625/4194304
-20312223125/262144 841338125/32768 210986321875/2097152 10592816875/2097152
219799541875/4194304 -235702509375/2097152 -4141930625/524288 403389870625/4194304
396258456875/4194304 25259831875/2097152 44747793125/4194304 131834878125/2097152
161195106875/2097152 139549395625/4194304 47343471875/4194304 -90499424375/4194304
-213865631875/2097152 8817806875/262144 -300682276875/4194304 -619994761875/4194304
-81058856875/2097152 -50520498125/2097152 6881416875/262144 -531773296875/4194304
30438829375/4194304 -36246844375/262144 -48354155625/4194304 23945879375/1048576
199045159375/2097152 473308953125/4194304 -521514289375/4194304 -22050766875/262144
-454383743125/4194304 -194953309375/4194304 -89777973125/4194304 -47943804375/2097152
14278918125/1048576 51559288125/1048576 -114671611875/4194304 -337035638125/4194304
-197088673125/4194304 61777414375/2097152 516380875625/4194304 74119671875/1048576
124219470625/1048576 129992788125/1048576 561785988125/4194304 74315389375/1048576
-127263998125/1048576 -269647538125/2097152 -541536643125/4194304 -44662346875/1048576
-271346709375/2097152 10058318125/1048576 616994014375/4194304 -68014701875/524288
22656481875/4194304 -648975079375/4194304 -40218720625/524288 -499550934375/4194304
17612876875/131072 133360113125/1048576 14870610625/2097152 27873415625/524288
-187093676875/2097152 -306989360625/2097152 -444021065625/4194304 248359721875/4194304
329036515625/4194304 -608874733125/4194304 -121977938125/4194304 -300913354375/2097152
-421067969375/4194304 107383111875/2097152 155068026875/2097152 79787884375/4194304
-298597123125/2097152 180897121875/2097152 254011504375/2097152 -610350850625/4194304
321958836875/4194304 -359736770625/4194304 555675299375/4194304 4489939375/524288
338199158125/4194304 -107088274375/2097152 286791201875/4194304 -39998561875/2097152
-401768583125/4194304 114868025625/4194304 -450643326875/4194304 592539375/65536
-182950391875/4194304 589396545625/4194304 -91389791875/4194304 -230296371875/4194304
-87030390625/4194304 -68654409375/4194304 116767975625/2097152 -33620588125/2097152
-360121554375/4194304 165439373125/2097152 128286115625/2097152 147514006875/2097152
26528023125/262144 166761934375/4194304 -132118225625/1048576 250183091875/2097152
126744061875/2097152 2590264375/4194304 524629696875/4194304 485923370625/4194304
-116931920625/2097152 492524811875/4194304 -266290076875/2097152 582239400625/4194304
237465101875/2097152 -83724075625/4194304 -305745139375/4194304 -150321634375/4194304
189476340625/2097152 -252075260625/4194304 52063175625/4194304 -398621718125/4194304
8937065625/2097152 -63539816875/524288 488580663125/4194304 610838766875/4194304
213286280625/4194304 183889821875/2097152 -7032129375/4194304 149910839375/2097152
52314228125/2097152 -66498624375/1048576 -313934540625/2097152 153506198125/2097152
-317105409375/2097152 393018923125/4194304 -567055273125/4194304 625475369375/4194304
-240477191875/2097152 193669243125/4194304 205742980625/2097152 11089053125/1048576
264546644375/4194304 -435636868125/4194304 57189483125/1048576 -222833691875/4194304
653832571875/4194304 315432820625/2097152 294592185625/2097152 132079685625/1048576
-64315770625/4194304 -153618095625/1048576 606371359375/4194304 332146440625/4194304
75330669375/4194304 -315483793125/2097152 102654200625/4194304 27171363125/1048576
45077983125/524288 -527582383125/4194304 115540488125/1048576 -100464886875/1048576
-101172534375/2097152 -280732028125/4194304 -47747839375/4194304 562277159375/4194304
317343405625/4194304 -470322873125/4194304 -1578353125/262144 157627744375/1048576
-30359895625/262144 -144903661875/2097152 57532734375/4194304 140093245625/1048576
185966585625/2097152 153088101875/4194304 148467790625/4194304 75779605625/1048576
-381928810625/4194304 -124670121875/1048576 -559731498125/4194304 -646351175625/4194304
203302955625/4194304 -53085210625/2097152 54221698125/4194304 153661869375/2097152
-187185294375/4194304 253416679375/4194304 234544730625/2097152 625852244375/4194304
-651247569375/4194304 -102195583125/1048576 -17129753125/1048576 -395002698125/4194304
86882566875/2097152 -178390385625/2097152 143780359375/1048576 287373581875/4194304
-569642123125/4194304 -184310134375/4194304 -69549099375/2097152 -42870660625/4194304
-311501044375/2097152 196120000625/2097152 -229885988125/4194304 314402743125/2097152
200453213125/4194304 49534594375/1048576 9385505625/262144 2847440625/65536
-28060441875/524288 -198459298125/2097152 -185370455625/2097152 274350269375/2097152
161824040625/2097152 20567519375/262144 -157874244375/1048576 242114268125/2097152
-23789584375/262144 -1651173125/1048576 546768385625/4194304 -101336874375/2097152
149639133125/4194304 -285813695625/4194304 232626509375/4194304 -582240706875/4194304
-212766494375/2097152 -73226705625/1048576 -334992639375/4194304 285835685625/4194304
172233511875/4194304 1057340625/131072 -112229979375/2097152 -321532928125/2097152
3813299375/32768 -24033338125/262144 -91593594375/2097152 18842343125/1048576
379171466875/4194304 -150749506875/1048576 -542281323125/4194304 217812925625/2097152
13537318125/131072 -281942555625/2097152 -125753483125/2097152 36528873125/2097152
242132151875/2097152 -632152831875/4194304 -121674295625/1048576 -67284176875/1048576
-37234536875/1048576 157313815625/4194304 -100637495625/1048576 -22706561875/4194304
-233242911875/4194304 118576039375/4194304 91719889375/2097152 136692213125/1048576
552775489375/4194304 -138000065625/2097152 110526624375/4194304 114674568125/2097152
272040908125/2097152 -610169715625/4194304 81408015625/4194304 111770070625/1048576
34132829375/1048576 571446703125/4194304 -6884804375/262144 -145625721875/4194304
270399681875/4194304 82427698125/1048576 315764654375/2097152 -3709546875/2097152
-10625098125/524288 -92240579375/1048576 -257476446875/2097152 -200271574375/4194304
410369745625/4194304 607887428125/4194304 -95959116875/4194304 670658493125/4194304
587009090625/4194304 -140333146875/2097152 -124348250625/2097152 147961211875/1048576
-135906641875/2097152 -137087675625/4194304 -272990841875/4194304 -192866338125/2097152
-196202221875/2097152 12293203125/1048576 570454409375/4194304 -270534884375/2097152
-74289885625/524288 -272464821875/4194304 -386966008125/4194304 -84812593125/2097152
80415858125/4194304 -12249315625/4194304 -116665206875/2097152 -241158511875/4194304
300555369375/4194304 -162748488125/1048576 72896199375/2097152 410938975625/4194304
-260321040625/2097152 -84462980625/1048576 157506024375/1048576 -567352903125/4194304
30448061875/4194304 585204059375/4194304 167005255625/2097152 40899785625/262144
-6761183125/4194304 -262347449375/2097152 110126671875/4194304 -95679255625/4194304
37688135625/4194304 -371848156875/4194304 -11338506875/4194304 73911348125/2097152
-12882123125/2097152 65657410625/4194304 109082139375/4194304 201069839375/4194304
-9516464375/1048576 56540211875/2097152 154837210625/2097152 -602030874375/4194304
447386555625/4194304 209136231875/4194304 -1970358125/524288 -129833596875/4194304
-2209628125/262144 78783188125/4194304 -3424295625/262144 -166034490625/1048576
21522638125/4194304 184476806875/2097152 -313869978125/4194304 -354754755625/4194304
-191143928125/4194304 130066694375/1048576 -394697775625/4194304 -546700173125/4194304
141279624375/2097152 423286255625/4194304 -15681885625/4194304 -77231419375/2097152
-11165933125/1048576 -203437598125/2097152 16459263125/262144 -386074513125/4194304
59243153125/2097152 244470655625/2097152 -85070700625/2097152 -91598223125/1048576
-255009451875/4194304 226221355625/4194304 617206553125/4194304 -525753220625/4194304
250375933125/4194304 -167367841875/2097152 -105463051875/4194304 -272034379375/2097152
149726451875/2097152 -170192781875/2097152 -113549311875/2097152 265147758125/4194304
205147763125/2097152 539099276875/4194304 567591635625/4194304 372690063125/4194304
-44118535625/4194304 -316860818125/4194304 -360640004375/4194304 -66260504375/524288
392392456875/4194304 -306245568125/4194304 398696383125/4194304 -31886050625/1048576
206739334375/2097152 494215796875/4194304 43282746875/524288 -34387288125/2097152
-146391648125/1048576 -276975378125/2097152 -52392098125/524288 -135092049375/1048576
-104261648125/1048576 32186029375/2097152 58411409375/2097152 31818299375/524288
-212350368125/4194304 -313762350625/4194304 -578547866875/4194304 -28234416875/4194304
282127599375/4194304 30628380625/2097152 188013520625/2097152 409385458125/4194304
-160321504375/2097152 266249126875/4194304 197626435625/4194304 -278797040625/2097152
449361308125/4194304 501031964375/4194304 121009308125/4194304 3354163125/4194304
-67134993125/524288 -423816669375/4194304 222264183125/2097152 -597873910625/4194304
-65778950625/524288 74007920625/524288 -474890486875/4194304 16700818125/262144
659518791875/4194304 -4190464375/262144 532751493125/4194304 188053376875/4194304
-506857189375/4194304 -42392455625/1048576 263713723125/2097152 147262611875/4194304
-322821910625/2097152 245924601875/4194304 166254583125/1048576 564822753125/4194304
-885341875/32768 -14618866875/4194304 -54565445625/524288 -40567124375/4194304
-329614655625/4194304 -99198615625/1048576 -195240231875/2097152 195658054375/4194304
-260391239375/2097152 -19201128125/1048576 -297889989375/4194304 430204203125/4194304
158545421875/1048576 27706433125/262144 214916208125/4194304 -31175783125/1048576
-79306290625/524288 401949016875/4194304 -323056374375/4194304 -472143071875/4194304
-302139949375/2097152 -252823239375/4194304 291286469375/2097152 -390661490625/4194304
-23379829375/4194304 -113526093125/2097152 242695321875/4194304 85425288125/2097152
-101136530625/1048576 212511754375/4194304 358590400625/4194304 174416365625/4194304
-162994704375/4194304 29073621875/524288 260709638125/2097152 227566368125/4194304
108798370625/4194304 -548590935625/4194304 -325434284375/2097152 -379719546875/4194304
-625906061875/4194304 -37627155625/524288 -287490210625/2097152 -14201510625/524288
651616236875/4194304 -34890983125/2097152 80768608125/524288 -453803174375/4194304
325818348125/2097152 208865124375/4194304 -268697994375/2097152 -234979958125/2097152
125434026875/2097152 -112326783125/1048576 383346251875/4194304 -199625746875/4194304
-226201154375/2097152 -332181030625/2097152 637509245625/4194304 -532152778125/4194304
606416094375/4194304 -48313306875/4194304 39464235625/524288 26882914375/2097152
-37542351875/4194304 -452483221875/4194304 304888686875/4194304 29294999375/2097152
-1925878125/524288 92688201875/2097152 -29659350625/262144 -237252458125/4194304
-83754619375/4194304 -33594263125/1048576 -569331945625/4194304 399769498125/4194304
91929275625/4194304 -531695091875/4194304 -292385855625/4194304 -19634269375/2097152
36864089375/524288 140484863125/1048576 -121622519375/1048576 -669782111875/4194304
99857214375/4194304 22954689375/1048576 -140824509375/4194304 -577270585625/4194304
-328891201875/4194304 -405195514375/4194304 34371433125/4194304 287689194375/4194304
408710149375/4194304 -259980238125/2097152 -521855498125/4194304 31159483125/2097152
24780413125/524288 -130519001875/2097152 -577231665625/4194304 -105918260625/4194304
200770896875/2097152 522985861875/4194304 169702776875/4194304 407798374375/4194304
74705800625/524288 -51785321875/2097152 146621405625/1048576 264621563125/2097152
-103581085625/4194304 45669829375/524288 -121801098125/4194304 164507060625/4194304
144141301875/2097152 64464961875/524288 -7962376875/524288 -70675528125/2097152
-102867878125/4194304 -328610466875/2097152 609795826875/4194304 -638182458125/4194304
-31857915625/4194304 -198965954375/4194304 -191224505625/4194304 -18880225625/1048576
638626443125/4194304 128893335625/1048576 191109699375/4194304 14644220625/1048576
-663320458125/4194304 -52771405625/1048576 -100031095625/2097152 -292710246875/4194304
-3481341875/65536 460618351875/4194304 -614564629375/4194304 62168444375/1048576
-480367310625/4194304 63843734375/524288 -45353810625/4194304 5863738125/1048576
-53812776875/2097152 -644322414375/4194304 79430855625/524288 2352830625/1048576
247059800625/4194304 -533351750625/4194304 -335104541875/4194304 291126943125/2097152
577773578125/4194304 -563366686875/4194304 392488745625/4194304 4856908125/524288
-362121536875/4194304 240301799375/4194304 35392164375/2097152 -152911146875/4194304
