1800
1817479569375/16777216 -3153824499375/33554432 -3820530909375/33554432 -3403712503125/33554432
-66317900625/16777216 -2051368734375/33554432 -2241700554375/33554432 -1814907031875/33554432
5019635008125/33554432 154074369375/8388608 -5527398605625/33554432 2566885314375/16777216
496085101875/16777216 -542994901875/33554432 -1147193544375/8388608 -2829810796875/16777216
669894384375/8388608 1556910860625/33554432 -1495448465625/33554432 -4597098215625/33554432
-2816376091875/33554432 3029565504375/33554432 1869963283125/16777216 -5131479673125/33554432
-565066828125/16777216 -210464263125/4194304 1859245351875/33554432 181703570625/8388608
919774794375/16777216 35730871875/16777216 -702955423125/8388608 -655095121875/16777216
5001252935625/33554432 819700700625/8388608 1322593678125/16777216 1714931184375/33554432
-349962204375/8388608 5224056249375/33554432 -96696511875/33554432 -857825206875/16777216
2952275625/65536 -504809870625/4194304 -1419913603125/33554432 -3700465768125/33554432
3492208805625/33554432 1731304355625/33554432 -1631053670625/33554432 -1768594280625/16777216
-4476764041875/33554432 4739552971875/33554432 -1272332705625/33554432 -1807253184375/16777216
1879211233125/33554432 2755945006875/33554432 1705541563125/33554432 6019050976875/33554432
-1173948575625/33554432 3183330819375/33554432 1982084394375/16777216 4529567941875/33554432
-5579127151875/33554432 3741737889375/33554432 -1777690378125/33554432 5300382706875/33554432
-2901333290625/16777216 -832151368125/16777216 742833815625/16777216 -273670273125/33554432
4625304361875/33554432 689260168125/16777216 -5276410813125/33554432 -583854373125/4194304
-4834310821875/33554432 860201499375/16777216 -431943193125/33554432 -662872595625/4194304
-1348025878125/33554432 635699041875/8388608 -1143503330625/8388608 2063646073125/33554432
-1550093765625/16777216 3487640855625/33554432 -1023855013125/8388608 -483250134375/16777216
113554231875/2097152 3961023980625/33554432 5791220398125/33554432 -1243767493125/16777216
5487687028125/33554432 -464870120625/16777216 732183361875/16777216 4197886869375/33554432
4681984179375/33554432 -885343809375/33554432 1160562009375/33554432 -923453173125/16777216
-519661321875/8388608 2115525819375/33554432 46676514375/262144 -1995598794375/33554432
-4151945323125/33554432 1286200535625/33554432 -1487998850625/8388608 968506824375/16777216
-1049111679375/16777216 1193812914375/16777216 -2581849243125/16777216 17006934375/8388608
-4001769016875/33554432 1496842453125/16777216 1668423931875/33554432 -2707812410625/16777216
4098873223125/33554432 3227361721875/33554432 688686913125/33554432 5169536926875/33554432
2361159500625/33554432 1358268238125/8388608 121777678125/4194304 1053808081875/33554432
144297354375/4194304 492486631875/33554432 -1893185353125/33554432 -1667867394375/33554432
-2447666510625/33554432 1159683294375/8388608 -5120960608125/33554432 -21179458125/262144
740433290625/4194304 -974295331875/8388608 -1943023055625/16777216 -10107511875/524288
323282143125/16777216 -2692770181875/33554432 564483369375/16777216 -445424090625/16777216
-39759519375/33554432 -1967273476875/16777216 2212459340625/16777216 -5756745875625/33554432
-4234212016875/33554432 -1395828331875/8388608 1613285701875/33554432 1456915010625/33554432
-2204459308125/16777216 346315978125/8388608 -1886813375625/33554432 -104661410625/16777216
5915408326875/33554432 3398739316875/33554432 4962557908125/33554432 5401316233125/33554432
-1142556440625/8388608 -4156629181875/33554432 1492235454375/33554432 1549172345625/33554432
-674459240625/8388608 2195463965625/16777216 2654521284375/16777216 -823129621875/16777216
3133108884375/33554432 1345463364375/8388608 -726899158125/4194304 59102893125/33554432
294223066875/33554432 -3756016951875/33554432 -2708595826875/33554432 -3654184471875/33554432
-1407542889375/8388608 -72741729375/16777216 -1412587164375/8388608 -966582928125/33554432
-2964929068125/33554432 -2473293920625/16777216 3613721619375/33554432 -262367499375/16777216
5217393133125/33554432 -1938759643125/33554432 4603971031875/33554432 5653762588125/33554432
741922498125/8388608 2827585614375/16777216 1650630751875/33554432 718090768125/8388608
-2846730763125/33554432 2247079910625/33554432 957082921875/16777216 2621098693125/33554432
273585976875/4194304 16328480625/33554432 -2677489149375/16777216 1015583000625/33554432
-5319810095625/33554432 4547645004375/33554432 2366448845625/16777216 -4020535276875/33554432
-2075999360625/16777216 99812064375/1048576 1527887581875/33554432 -274363036875/33554432
2873808241875/33554432 210897815625/8388608 5504300578125/33554432 -15920724375/8388608
-1077195976875/8388608 -5948232485625/33554432 -2559646805625/33554432 863745969375/33554432
698535815625/33554432 -479430219375/4194304 -616396753125/8388608 -5586586025625/33554432
-2802817895625/16777216 684777110625/4194304 -49755223125/2097152 -1029159039375/16777216
-2912413516875/33554432 1890114643125/16777216 701088834375/8388608 243865513125/16777216
-725755618125/33554432 2681445763125/33554432 3867950784375/33554432 -835584935625/33554432
-1439975615625/8388608 2329942674375/16777216 -1450682330625/8388608 -604477310625/4194304
2972190853125/33554432 1739785888125/33554432 -1746872566875/16777216 -1865883189375/33554432
1214707111875/8388608 120831935625/4194304 14002059375/1048576 2310218521875/33554432
2962737151875/16777216 118159453125/2097152 3280210149375/33554432 -1294482774375/33554432
-2760022996875/16777216 4984206609375/33554432 675525616875/33554432 1248839263125/8388608
-942138118125/8388608 -3367077530625/33554432 -678462755625/4194304 499847675625/16777216
4405183948125/33554432 -1673778369375/33554432 1314256010625/16777216 -1496194948125/16777216
5188134375/8388608 5404061615625/33554432 287620396875/16777216 -2417953809375/16777216
-1636309186875/16777216 -1896903320625/33554432 5393295039375/33554432 696529389375/4194304
-610275605625/4194304 654331865625/33554432 -5309261814375/33554432 -526230601875/33554432
2205749109375/16777216 4246978145625/33554432 197926284375/4194304 123949018125/16777216
-102770893125/8388608 -2502978778125/33554432 -1238996176875/8388608 -35822176875/2097152
1605810403125/16777216 -3786585328125/33554432 -676336674375/33554432 -344500959375/2097152
-993496910625/16777216 -2834736080625/33554432 284977018125/4194304 -150625389375/4194304
-647722074375/16777216 1147532596875/8388608 -96063238125/33554432 1763945488125/33554432
3179836985625/33554432 635662895625/33554432 3236950940625/33554432 -2172074529375/16777216
-5251322491875/33554432 -26535324375/8388608 5736425034375/33554432 -2817602420625/33554432
-1534358773125/16777216 5506415420625/33554432 4965569600625/33554432 -5161134605625/33554432
491923423125/4194304 -238734613125/16777216 34842088125/524288 -5478566293125/33554432
-384612080625/8388608 -1983705271875/16777216 328861344375/4194304 -250598773125/4194304
-1738473710625/33554432 -4533236105625/33554432 1287330823125/16777216 2832369901875/33554432
-2239868446875/16777216 2732216686875/16777216 1909559953125/33554432 434561180625/4194304
-1405425358125/8388608 -345295569375/16777216 -3932884951875/33554432 -156872671875/33554432
3905375023125/33554432 -3409870505625/33554432 -196299815625/2097152 -135994111875/1048576
715744186875/33554432 4186434549375/33554432 -2929858520625/16777216 -400796600625/8388608
-4496160954375/33554432 5681849934375/33554432 367348539375/8388608 -5446050856875/33554432
557675375625/4194304 28150678125/33554432 -3013079765625/16777216 1375460431875/8388608
-414218851875/8388608 -939390564375/16777216 -3501177890625/33554432 71422149375/524288
1349539959375/8388608 -724371474375/16777216 2920590061875/33554432 -5395614418125/33554432
1560932848125/16777216 -2806098384375/16777216 4551615208125/33554432 2975189653125/33554432
-338649508125/4194304 382349626875/4194304 957878679375/8388608 1957681996875/16777216
183455960625/2097152 4285631795625/33554432 4453042213125/33554432 1923728450625/16777216
-3612136314375/33554432 853605511875/33554432 652675775625/8388608 998587614375/8388608
-4330263526875/33554432 -2771290816875/16777216 -1790200805625/16777216 -710137681875/33554432
-2939078716875/16777216 558994044375/16777216 -2073840879375/16777216 161633806875/2097152
1084070266875/8388608 -778728391875/8388608 -121595641875/16777216 -884674614375/16777216
2535650341875/16777216 2099470494375/16777216 3559502446875/33554432 -3506792754375/33554432
-2046283723125/33554432 -988721139375/33554432 -241400998125/2097152 5568470274375/33554432
-493379026875/16777216 5296875429375/33554432 1931354116875/33554432 -961190578125/8388608
-5136858781875/33554432 -5200322596875/33554432 3075394179375/33554432 28967371875/33554432
1265403920625/16777216 43906539375/2097152 622881298125/4194304 -2447608033125/33554432
5260050253125/33554432 52425421875/16777216 843529235625/16777216 2594134603125/16777216
1203283018125/16777216 -629050426875/8388608 2676016119375/16777216 -5418731818125/33554432
3212509933125/33554432 1791600823125/16777216 -432530296875/4194304 2898041968125/33554432
-155197558125/1048576 1735102243125/16777216 386341216875/33554432 -1234153333125/16777216
-1206026274375/16777216 -1671447774375/33554432 174868228125/16777216 212131423125/4194304
-411151449375/4194304 -73158620625/16777216 -1353492568125/16777216 -2168388151875/16777216
-2928322006875/33554432 -4294521298125/33554432 -846414028125/33554432 -1490436140625/16777216
562738584375/4194304 -128873491875/16777216 -2140049570625/33554432 -788463410625/33554432
557147896875/8388608 731113003125/8388608 -1929265959375/16777216 155582195625/33554432
241724593125/33554432 -4907051881875/33554432 3799904619375/33554432 -90236638125/16777216
3265601180625/33554432 3174232246875/33554432 5016185611875/33554432 -131785385625/33554432
3902285379375/33554432 55442671875/33554432 593711229375/8388608 2255881291875/33554432
-2776912858125/16777216 -31499398125/262144 -4989326765625/33554432 1502206306875/8388608
-65000199375/4194304 1143643775625/33554432 1265198743125/8388608 -1948342764375/16777216
-2659203624375/16777216 -2271608105625/33554432 4849869808125/33554432 -2883897736875/16777216
50007909375/8388608 -722389640625/8388608 -4697621904375/33554432 4901814736875/33554432
5284110223125/33554432 1136936581875/16777216 -2640553689375/16777216 661137598125/4194304
-616942771875/4194304 -75314941875/1048576 -4089496033125/33554432 1033716819375/8388608
5810808313125/33554432 155085238125/8388608 -5842346461875/33554432 -5303815655625/33554432
2474890689375/16777216 2156792608125/16777216 5394237654375/33554432 884459188125/33554432
1741915310625/16777216 5488914684375/33554432 1650244955625/16777216 3030126721875/33554432
-32172620625/16777216 2716403180625/33554432 -4830999013125/33554432 1376661605625/16777216
-2513894000625/16777216 676514278125/16777216 -175822081875/8388608 -730927209375/4194304
-60594564375/1048576 47974021875/33554432 -531337516875/8388608 -1119419038125/16777216
186835753125/4194304 1993027561875/33554432 145561494375/4194304 -2444644918125/16777216
2030651690625/16777216 242361804375/16777216 4060754578125/33554432 2537370804375/33554432
-1515133749375/33554432 -2516499241875/33554432 -1923944191875/16777216 -1523251085625/16777216
-5877090939375/33554432 343802615625/4194304 1047183676875/33554432 -1472694463125/8388608
-1190462833125/8388608 -361634945625/2097152 -1393942584375/16777216 511855104375/8388608
183089323125/4194304 544182766875/33554432 2420306701875/16777216 -2184496543125/33554432
-801394723125/33554432 2491615501875/16777216 -4401851023125/33554432 -5637784359375/33554432
3298792359375/33554432 -2706659476875/16777216 -698959299375/16777216 4646499755625/33554432
-5047340158125/33554432 5354247245625/33554432 -1039152594375/16777216 -1121734130625/8388608
-2601751145625/16777216 4533713364375/33554432 -3556325176875/33554432 -241653898125/33554432
5648384120625/33554432 5980701583125/33554432 -1395177305625/33554432 2953739143125/33554432
-1361447746875/33554432 -819256505625/8388608 -7050335625/2097152 373594393125/16777216
1484622916875/33554432 467688909375/4194304 36598258125/1048576 48195388125/2097152
-1826516165625/33554432 -147182821875/4194304 3046578496875/33554432 -3678389251875/33554432
-286071766875/33554432 2362098718125/33554432 -5930299018125/33554432 1132136060625/8388608
-874565600625/8388608 -247068298125/16777216 2781217996875/33554432 -993430051875/8388608
5982538325625/33554432 -2245229139375/16777216 -31466503125/8388608 -2869532105625/33554432
-68990788125/524288 -364532765625/8388608 1247033649375/33554432 -4378936910625/33554432
2102132041875/16777216 1155282238125/33554432 32442283125/4194304 1500835325625/33554432
-2731007086875/16777216 3309318714375/33554432 220216246875/2097152 2868365131875/16777216
-3000774369375/33554432 157203095625/1048576 -358297689375/4194304 -342864916875/4194304
-5310185574375/33554432 -1669962853125/33554432 -688632406875/16777216 -193988840625/2097152
-858950285625/8388608 5974866433125/33554432 -1099519025625/8388608 1453179178125/8388608
2227648471875/16777216 -509710449375/8388608 -1737819174375/33554432 -1153128245625/33554432
2324336338125/16777216 821592804375/33554432 -903948654375/8388608 -1530805460625/33554432
-466812264375/33554432 1486072625625/16777216 -575899554375/16777216 -3920699728125/33554432
-4165833886875/33554432 -2444039915625/33554432 -1385482888125/16777216 -2035022203125/33554432
5147074445625/33554432 -2673255020625/33554432 5524483539375/33554432 1286180488125/33554432
-3814796131875/33554432 84058261875/2097152 1110226505625/33554432 -5057195968125/33554432
467302415625/8388608 -209653441875/4194304 -697847371875/16777216 -292046315625/2097152
-4481690000625/33554432 -311207113125/8388608 -793150993125/33554432 -2429491100625/33554432
-3215856965625/33554432 190151758125/33554432 -125660705625/4194304 -4745488798125/33554432
-1868853504375/33554432 5835365026875/33554432 4769544976875/33554432 -77909878125/524288
-1375057018125/16777216 2628865715625/16777216 -5447392318125/33554432 1499094950625/8388608
464635018125/4194304 -2623080256875/16777216 1248693598125/33554432 15717819375/8388608
729027309375/33554432 729979284375/16777216 1823512910625/33554432 -2407306213125/16777216
1204889259375/8388608 -3449639626875/33554432 -1435445161875/16777216 105563919375/2097152
-270372504375/2097152 -813760183125/16777216 -3188046020625/33554432 -2340722233125/33554432
-292759801875/8388608 -2380261426875/33554432 1317264991875/8388608 2673775018125/16777216
-530197228125/33554432 2235926728125/16777216 -103829765625/1048576 -505121720625/16777216
-445686946875/33554432 -3271565458125/33554432 -112969749375/1048576 620459848125/8388608
-318078826875/4194304 -5578201726875/33554432 -3870773848125/33554432 2411754935625/16777216
-3149272513125/33554432 -3083846506875/33554432 887224179375/8388608 -636917833125/16777216
2407136124375/33554432 -2297321533125/16777216 -2183188955625/33554432 1258602766875/33554432
-5593829101875/33554432 -3021053338125/33554432 -1974626161875/16777216 4252705171875/33554432
-140892406875/1048576 -157985274375/8388608 -5757314214375/33554432 509627626875/16777216
-496303025625/8388608 2004155353125/33554432 -2244680915625/16777216 73508349375/4194304
-2964675538125/33554432 4000810213125/33554432 4596465886875/33554432 -2421147369375/16777216
4738597093125/33554432 425709208125/16777216 -5909805669375/33554432 232178450625/33554432
-4206645219375/33554432 -159126913125/33554432 1053488851875/16777216 -3279115974375/33554432
40389564375/1048576 -3570045170625/33554432 5630806468125/33554432 4031181478125/33554432
714606699375/8388608 -4098974855625/33554432 2813986344375/33554432 -2114598616875/16777216
-1065618185625/33554432 889563661875/16777216 2025419090625/33554432 -2070266405625/33554432
1077842986875/8388608 2389618125/131072 524218629375/4194304 -737676050625/33554432
-1456065939375/16777216 -433367105625/4194304 210153459375/16777216 -2534035539375/33554432
456022704375/4194304 -2940581581875/33554432 -809749974375/33554432 190372753125/16777216
3949035631875/33554432 -5331699973125/33554432 2755798689375/33554432 -1233764229375/8388608
-762426208125/16777216 -524637129375/16777216 287844868125/4194304 -9941383125/8388608
4842763813125/33554432 666546530625/33554432 -4045970143125/33554432 2299724611875/33554432
-1803293296875/16777216 -1689650195625/16777216 184241390625/2097152 -163547926875/1048576
745778300625/33554432 -1828269523125/33554432 394166728125/4194304 600673550625/4194304
-6026474278125/33554432 -3287653678125/33554432 1900356091875/16777216 -657485195625/33554432
2048395921875/33554432 2157842266875/33554432 -5724703243125/33554432 -1752889505625/33554432
1521232160625/16777216 -2956407856875/16777216 1180396850625/8388608 1404960384375/8388608
1615375108125/33554432 118800050625/4194304 1135796866875/16777216 2085999215625/16777216
103890178125/8388608 -589840734375/16777216 5334611225625/33554432 -682514668125/8388608
-4965719686875/33554432 2333626318125/16777216 1512048380625/33554432 -569561754375/16777216
967905106875/33554432 -1041796614375/33554432 -1141750164375/16777216 -1088433275625/8388608
-4262648810625/33554432 141352554375/16777216 -1208197884375/33554432 -2393470018125/33554432
398937684375/16777216 5888518329375/33554432 2378543304375/16777216 -1823144889375/16777216
-979997394375/16777216 2177165379375/16777216 -1071229685625/33554432 -736547034375/8388608
1477516359375/8388608 122595856875/33554432 654292783125/33554432 -28605245625/262144
-970306880625/8388608 514977676875/4194304 60217768125/33554432 1895952661875/16777216
-5936940264375/33554432 -5219072263125/33554432 -1329729091875/16777216 -786442415625/16777216
4729716781875/33554432 -4411094225625/33554432 -840679250625/16777216 2344229341875/33554432
152077460625/8388608 -2212450239375/33554432 -1455479004375/33554432 5483753398125/33554432
-4280189011875/33554432 -1911326878125/16777216 2528480120625/16777216 1152630736875/33554432
-1831116853125/33554432 4991522079375/33554432 -4089781198125/33554432 -2300688106875/16777216
1507844109375/8388608 -983371989375/16777216 2247386518125/33554432 2170995879375/33554432
4453303775625/33554432 339241055625/2097152 -1337839689375/8388608 -2405276836875/33554432
4875221356875/33554432 -329109170625/2097152 1254130509375/33554432 506403196875/8388608
4981713991875/33554432 236399585625/2097152 -1480975216875/16777216 -2238929848125/33554432
2958627560625/16777216 1113800563125/33554432 -1333566511875/33554432 2078564833125/33554432
-729951924375/8388608 -964177453125/8388608 -32295335625/16777216 -1445239164375/16777216
-1854818319375/16777216 -500312728125/8388608 2787593326875/33554432 2429674250625/16777216
-2660322031875/16777216 -5423135056875/33554432 2692441074375/16777216 3646841011875/33554432
1937290730625/16777216 -198501181875/16777216 4565675503125/33554432 857471619375/16777216
1545137859375/33554432 -4056152146875/33554432 -3971939405625/33554432 -1428771999375/33554432
-247271675625/33554432 -1150386204375/16777216 -155798105625/8388608 -2096306904375/16777216
-5400223970625/33554432 3962121316875/33554432 2015086561875/33554432 -88298510625/2097152
-860033953125/33554432 -1710310348125/16777216 4195530995625/33554432 103736446875/2097152
224721691875/8388608 3456083773125/33554432 -5367299653125/33554432 -196146084375/4194304
186670783125/8388608 1168759355625/8388608 651530705625/4194304 -5139117579375/33554432
1514403984375/16777216 669701176875/16777216 -617851423125/4194304 1797736651875/33554432
-4111568881875/33554432 1906973803125/16777216 756634066875/8388608 738772183125/33554432
-232500740625/4194304 -4800913948125/33554432 4015205431875/33554432 -1854495871875/33554432
-686976890625/16777216 -1209205288125/33554432 1470633823125/8388608 4036193488125/33554432
414000399375/33554432 3720749124375/33554432 -3186110593125/33554432 -1452573748125/33554432
2261652879375/33554432 -2190328880625/33554432 1342385071875/8388608 -972181175625/33554432
-278612600625/4194304 -5395885655625/33554432 2499793723125/16777216 16176178125/8388608
-988781968125/8388608 -295408693125/8388608 4375592881875/33554432 -188398130625/8388608
-1122632949375/33554432 -1907825360625/33554432 -345532854375/2097152 -460718769375/16777216
-3293019613125/33554432 -736922323125/33554432 1166809786875/16777216 -235576310625/8388608
-1570286053125/16777216 648909545625/16777216 -5881800076875/33554432 -84223996875/33554432
-2794398440625/16777216 -2639946031875/16777216 1084536050625/33554432 305129671875/16777216
-2519473246875/33554432 -1316126964375/8388608 -215134070625/4194304 -4285177295625/33554432
-468946670625/8388608 4116595876875/33554432 -257554018125/2097152 2115782938125/33554432
-1674441399375/16777216 -4238932033125/33554432 598165138125/33554432 1296948414375/16777216
1023087639375/16777216 -2129002104375/33554432 3905813255625/33554432 -1858749755625/16777216
408944638125/16777216 15654830625/16777216 2195530610625/33554432 5414712721875/33554432
-152567735625/1048576 -243523479375/33554432 1342915689375/8388608 224904729375/16777216
-2733372163125/33554432 2698073983125/33554432 5782108663125/33554432 -1481953134375/16777216
-1229557809375/8388608 -254134231875/8388608 -2898380266875/33554432 -2921610414375/33554432
-3799345010625/33554432 794124635625/16777216 21824690625/8388608 -852088303125/8388608
-46796956875/8388608 -1635012320625/33554432 -3011755111875/33554432 1225154491875/16777216
-5558642881875/33554432 -3576586033125/33554432 -1796456086875/33554432 -1674591631875/33554432
752139590625/4194304 2488614361875/33554432 3018424674375/16777216 -951699875625/8388608
864431341875/33554432 1840626950625/33554432 928834700625/8388608 79649229375/8388608
-5171630979375/33554432 -2256767398125/33554432 2207185903125/16777216 -36706471875/8388608
1447303573125/8388608 5815284350625/33554432 -565790765625/4194304 2855109774375/33554432
-1536610415625/33554432 -4605098416875/33554432 -4162013735625/33554432 5364212034375/33554432
-1088243825625/33554432 1010820976875/16777216 -3327471534375/33554432 -66990391875/1048576
325165595625/2097152 366528695625/8388608 49892248125/1048576 -2393406950625/33554432
-496556431875/8388608 284091283125/2097152 358886840625/16777216 -723357331875/16777216
-2628079093125/16777216 329324259375/33554432 -1232842055625/16777216 1744771775625/33554432
24958738125/4194304 -5298251630625/33554432 2349412914375/16777216 1750176478125/16777216
3620115421875/33554432 -5980358570625/33554432 -2514901145625/33554432 1796488790625/33554432
-5200221616875/33554432 -4616070384375/33554432 -2961825271875/16777216 2702032374375/33554432
-2346454614375/33554432 -44128546875/16777216 -450955366875/33554432 -5288211984375/33554432
3906638386875/33554432 4440402140625/33554432 275607815625/4194304 -1939034491875/33554432
-1126796461875/8388608 2354282893125/33554432 -560142286875/8388608 75886711875/524288
102305064375/1048576 1128929900625/8388608 -3382130649375/33554432 -268145521875/8388608
5460731589375/33554432 77982924375/8388608 -4145968659375/33554432 -2268712940625/16777216
-2880456181875/33554432 2018456251875/16777216 -3729158116875/33554432 86538965625/16777216
200344213125/16777216 -4474592544375/33554432 -5136660950625/33554432 -81715899375/1048576
2100985014375/16777216 -26948930625/1048576 -59122186875/1048576 837922730625/16777216
-4603053223125/33554432 1395375463125/33554432 -915321166875/33554432 -17350498125/1048576
-367518515625/16777216 943966659375/8388608 2633684563125/33554432 -4388204716875/33554432
5101506973125/33554432 -1464399883125/16777216 -603735879375/4194304 1720482508125/33554432
-2280386255625/33554432 -4059482326875/33554432 -5611209451875/33554432 1055155741875/33554432
3806670909375/33554432 -2500762359375/16777216 505080118125/16777216 -2713915288125/33554432
3507745156875/33554432 4985903525625/33554432 1167067333125/33554432 785271583125/33554432
4294136728125/33554432 -724579903125/4194304 673779121875/8388608 218328665625/33554432
1196319065625/33554432 -481059118125/33554432 1659907175625/33554432 -215974873125/16777216
6006515191875/33554432 2266693835625/16777216 3887518426875/33554432 1453559979375/8388608
2008549850625/33554432 -2461301308125/16777216 54272503125/524288 -4410433693125/33554432
1455536851875/16777216 -5040733404375/33554432 4603786464375/33554432 -672938015625/8388608
-385274525625/16777216 5796752011875/33554432 -654295190625/8388608 -1948837989375/16777216
2895749060625/16777216 -5523247321875/33554432 -819329473125/33554432 -1724347288125/16777216
3000039766875/16777216 5195426585625/33554432 -490211499375/16777216 -191908321875/33554432
2497318464375/33554432 -1186909205625/16777216 845035734375/16777216 471292678125/16777216
-1290623405625/8388608 91676053125/524288 2065316810625/16777216 680302243125/4194304
-874920031875/8388608 1070643324375/16777216 -279483530625/33554432 -586244750625/4194304
-5868728431875/33554432 1481680636875/16777216 2008919379375/33554432 2457359398125/33554432
406591295625/16777216 1411868244375/16777216 2098149294375/16777216 2891821145625/33554432
2509285483125/33554432 2120417454375/16777216 -46020448125/262144 -296627450625/16777216
2436677218125/16777216 -1603290054375/33554432 1291999561875/16777216 -4289570555625/33554432
-181581755625/8388608 -629739028125/33554432 -12482780625/131072 -935357090625/16777216
5007367805625/33554432 -1196552615625/8388608 3131691271875/33554432 34358990625/33554432
526486921875/4194304 -3469812541875/33554432 731446891875/8388608 -415243085625/33554432
2754863465625/33554432 353178748125/2097152 -2000386648125/33554432 -466144160625/33554432
4052973313125/33554432 2884182238125/16777216 3709280255625/33554432 -43864183125/4194304
1183956969375/8388608 2807449149375/33554432 -4796390345625/33554432 4756133413125/33554432
-301051040625/2097152 3135596158125/33554432 74474780625/16777216 -1340564045625/8388608
852550914375/33554432 415861104375/33554432 -6034509309375/33554432 207291448125/33554432
4365217355625/33554432 -474890405625/16777216 -200502478125/2097152 -1788128218125/33554432
19095958125/8388608 910353920625/33554432 -249110589375/16777216 -2271294635625/16777216
3653599629375/33554432 5040673498125/33554432 -5673758821875/33554432 1729943173125/33554432
-4623224180625/33554432 2749875328125/16777216 -570529445625/33554432 1888514364375/16777216
-2421541524375/33554432 -2147366761875/33554432 -4529583365625/33554432 -821291720625/16777216
-1690412619375/16777216 1983639684375/33554432 786122038125/16777216 -120541235625/8388608
-2229512799375/33554432 -4255898776875/33554432 1099164009375/33554432 4435770515625/33554432
231401975625/33554432 707701888125/4194304 -4078826746875/33554432 -128093956875/4194304
-1557961441875/16777216 3579647304375/33554432 1800651121875/16777216 -173161929375/2097152
1257479083125/8388608 -262854005625/16777216 -88303809375/4194304 -948434461875/33554432
-5276487099375/33554432 148761095625/2097152 4670713445625/33554432 349650793125/33554432
11979781875/1048576 4526634605625/33554432 342590371875/4194304 -671673650625/16777216
-2105307646875/16777216 -1052286778125/16777216 901433379375/33554432 518814961875/8388608
5456157440625/33554432 1003975655625/33554432 1431118603125/16777216 -2508625591875/33554432
3914692340625/33554432 2262686923125/16777216 -131092419375/16777216 1097874973125/16777216
-4645603906875/33554432 -2371226889375/33554432 165860690625/8388608 1464607198125/8388608
2538445415625/16777216 5459999743125/33554432 -722495885625/4194304 -4372379285625/33554432
3433870659375/33554432 -2331960564375/16777216 4224783346875/33554432 -603876369375/33554432
1747259116875/16777216 3437844879375/33554432 800188734375/33554432 -1694913800625/16777216
-1425234605625/33554432 1086026664375/8388608 -427826041875/16777216 -963922899375/8388608
5196809401875/33554432 234713638125/16777216 -1607067961875/16777216 1001814215625/16777216
-565394619375/16777216 2793706430625/33554432 -1316748774375/8388608 -4269677248125/33554432
2875368391875/33554432 -1889643358125/33554432 -428994028125/4194304 -2230276528125/33554432
1945059598125/16777216 -1303773845625/16777216 -320707209375/8388608 700088079375/16777216
3403571731875/33554432 -353543709375/4194304 1037052376875/33554432 452618634375/4194304
-1505711401875/33554432 -5095076090625/33554432 -934831153125/8388608 4223789443125/33554432
786594526875/8388608 542508451875/4194304 4794701788125/33554432 -1408371316875/8388608
877738989375/8388608 2727117005625/16777216 1905887289375/33554432 4661194719375/33554432
-3847632564375/33554432 -5749753629375/33554432 1276854519375/16777216 -2569603516875/33554432
-90871486875/8388608 2987811343125/16777216 2555301178125/16777216 1659560428125/16777216
147553374375/4194304 2371945021875/16777216 -3909313963125/33554432 758073459375/33554432
-2352793078125/16777216 1449348035625/8388608 -336445149375/16777216 -3375131371875/33554432
1640329183125/16777216 -1379235673125/33554432 4644055805625/33554432 2251155526875/33554432
2882711761875/33554432 -228616025625/4194304 2682902008125/33554432 107765004375/8388608
-3447018995625/33554432 -2750172429375/16777216 1567909670625/16777216 -1351497931875/8388608
-3490059121875/33554432 5973183388125/33554432 229199023125/16777216 357084118125/33554432
119797149375/1048576 3342162898125/33554432 485555675625/33554432 -4286536183125/33554432
3633380341875/33554432 2045940148125/33554432 -3852795121875/33554432 396818173125/8388608
-1452016580625/8388608 -4009873393125/33554432 2380528569375/16777216 -1015788144375/8388608
-2271843568125/33554432 900727374375/33554432 -1331917498125/16777216 -1810735115625/33554432
1418668858125/8388608 4302482675625/33554432 15781865625/2097152 2083206605625/16777216
607151885625/33554432 415851024375/4194304 1627993085625/16777216 -22485268125/4194304
428162428125/33554432 1669905804375/16777216 380982560625/33554432 -289217941875/8388608
661761151875/16777216 1549641358125/33554432 334683691875/33554432 -2363214504375/16777216
-1083832790625/8388608 -1293697411875/33554432 977810034375/8388608 40479271875/2097152
1477301146875/16777216 -5830833088125/33554432 -609300759375/4194304 1089391910625/16777216
2050211413125/33554432 815525994375/33554432 1067730676875/16777216 -2036387480625/33554432
-4844538894375/33554432 -510064329375/8388608 -3110303255625/33554432 -5816701411875/33554432
-3487091844375/33554432 654658295625/33554432 -1356807538125/16777216 1208991313125/33554432
-1959719754375/16777216 652027010625/16777216 -6009484618125/33554432 1398724239375/33554432
-1063770823125/16777216 -310730326875/33554432 -2193348245625/16777216 5706570099375/33554432
-1434537545625/33554432 3760161170625/33554432 -779445860625/33554432 633671431875/16777216
-4000084903125/33554432 -3008394748125/16777216 2988468545625/33554432 401177851875/16777216
-5297729450625/33554432 2964677450625/33554432 -238034188125/16777216 2931952224375/33554432
-896200149375/16777216 2840134156875/16777216 18126275625/16777216 55334548125/2097152
-788295639375/33554432 -828939909375/33554432 2294193988125/16777216 1509468260625/8388608
2686489475625/33554432 2747220170625/16777216 -1705397439375/33554432 -2096511744375/33554432
3821985106875/33554432 1959051110625/16777216 -2827172323125/16777216 954723605625/33554432
-5252116629375/33554432 2701567738125/16777216 3137197550625/33554432 -772535863125/8388608
